SPS_L,NumRadicalElectrons_L,MaxPartialCharge_L,PEOE_VSA1_L,PEOE_VSA10_L,PEOE_VSA11_L,PEOE_VSA14_L,PEOE_VSA4_L,SlogP_VSA1_L,SlogP_VSA12_L,TPSA_L,EState_VSA9_L,VSA_EState2_L,VSA_EState4_L,NOCount_L,NumAliphaticHeterocycles_L,NumHAcceptors_L,fr_Imine_L,fr_allylic_oxid_L,fr_bicyclic_L,Ligand ID,ln(dr)
33.18518518518518,0.0,0.19980581458292307,9.473725907600098,29.70660490318931,11.795490688715223,0.0,0.0,0.0,0.0,43.18,19.458535372871438,10.08396415973797,5.209909925333288,4.0,2.0,4.0,2.0,0.0,6.0,L1,1.9
25.209302325581394,0.0,0.1998058173452536,9.473725907600098,29.706604903189305,11.795490688715223,0.0,0.0,0.0,0.0,43.18,19.458535372871438,10.564239927145493,15.269177943316842,4.0,2.0,4.0,2.0,0.0,6.0,L10,1.86
23.5609756097561,0.0,0.2005049921478837,9.473725907600098,41.34104658528109,0.0,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.519204774502395,5.82693200311655,4.0,2.0,4.0,2.0,0.0,6.0,L100,0.99
38.644067796610166,0.0,0.2005049919450324,9.473725907600098,29.70660490318931,0.0,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,11.322827364034076,11.331503583336882,4.0,2.0,4.0,2.0,0.0,6.0,L101,1.39
21.836734693877553,0.0,0.19978211188248088,9.473725907600098,29.70660490318931,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.803651685420888,9.742917537516131,4.0,2.0,4.0,2.0,0.0,8.0,L102,2.24
20.0,0.0,0.20050499468532693,9.473725907600098,29.70660490318931,0.0,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,11.304972547098895,11.68337867524764,4.0,2.0,4.0,2.0,0.0,8.0,L103,1.28
19.770491803278688,0.0,0.2005049946853359,9.473725907600098,29.70660490318931,0.0,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,11.36922652003793,14.360085284517659,4.0,2.0,4.0,2.0,0.0,8.0,L104,1.67
25.513513513513512,0.0,0.20015077625752237,9.473725907600098,17.4986721276927,12.207932775496605,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.448054925673972,4.169588303411356,4.0,2.0,4.0,2.0,0.0,0.0,L105,1.45
23.53488372093023,0.0,0.2008503239890407,9.473725907600098,17.4986721276927,12.207932775496605,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.854132023179641,6.430035834275555,4.0,2.0,4.0,2.0,0.0,1.0,L107,0.66
21.307692307692307,0.0,0.2009455837237125,9.473725907600098,17.4986721276927,11.202101621967376,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,11.459434996220711,4.048110333779979,4.0,2.0,4.0,2.0,0.0,0.0,L108,0.36
25.37142857142857,0.0,0.19952313550845469,9.473725907600098,30.712436056718538,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.581757999496094,2.1259378895548635,4.0,2.0,4.0,2.0,0.0,0.0,L109,1.15
26.46153846153846,0.0,0.19980581734525357,9.473725907600098,29.70660490318931,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.461095979450263,10.001117998638371,4.0,2.0,4.0,2.0,0.0,6.0,L11,1.99
25.333333333333332,0.0,0.1991624267877549,9.473725907600098,18.628754398422615,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,9.80943393947723,2.424361650423921,4.0,2.0,4.0,2.0,0.0,0.0,L110,1.66
25.24137931034483,0.0,0.19916072452708003,9.473725907600098,18.628754398422615,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.049433939477229,2.3792227615350328,4.0,2.0,4.0,2.0,0.0,0.0,L111,1.66
22.78787878787879,0.0,0.1998619836474337,9.473725907600098,18.628754398422615,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.2155110369829,4.8299262039159645,4.0,2.0,4.0,2.0,0.0,1.0,L112,1.52
25.161290322580644,0.0,0.19916072447827546,9.473725907600098,18.628754398422615,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.216100606143897,2.3562032142099296,4.0,2.0,4.0,2.0,0.0,0.0,L113,1.39
26.64,0.0,0.33434146327999076,18.947451815200196,18.628754398422615,23.879172347011146,11.938610575903699,0.0,0.0,0.0,95.78000000000002,18.947451815200196,32.725868261256345,-0.5419430272108845,8.0,2.0,8.0,2.0,0.0,0.0,L116,1.99
21.58490566037736,0.0,0.1998620100842432,9.473725907600098,18.628754398422615,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,11.425106135046612,1.9150455876795167,4.0,2.0,4.0,2.0,0.0,4.0,L117,0.58
