True_Values,Predicted_Values
1.9,1.654399999999998
2.24,2.278200000000002
1.15,1.540199999999999
1.66,1.6394999999999975
0.71,0.7183999999999995
0.66,0.46459999999999996
0.04,0.9877999999999991
-2.03,-2.9915
-1.97,-1.5356999999999983
-2.83,-1.5274999999999974
-1.41,0.2530999999999996
-1.39,-0.48250000000000065
-2.94,-1.7240999999999977
-2.94,-2.6774999999999993
-0.85,0.4662999999999997
0.66,1.1925999999999986
2.08,2.055300000000002
2.59,2.0953000000000026
1.28,1.7768000000000006
0.36,0.8346999999999991
1.99,1.6231000000000015
1.99,0.7032999999999998
0.49,0.43029999999999924
1.32,1.206799999999999
0.94,1.184800000000001
1.05,1.5212999999999997
2.24,2.122400000000001
2.27,2.339199999999999
2.16,2.077300000000003
1.97,2.0271000000000026
1.79,1.9957000000000031
2.14,2.321299999999999
-3.0,-2.8234
-1.39,-1.673699999999998
1.05,1.3265999999999993
1.39,1.1002999999999985
1.67,1.2764000000000009
1.45,1.0248999999999988
0.66,0.7745000000000002
1.66,1.4916999999999978
0.58,0.7388999999999999
0.04,-0.2271000000000003
0.99,0.34089999999999937
0.16,0.3650999999999995
1.84,1.2764000000000009
2.11,2.4903999999999993
0.99,1.0121999999999982
0.94,1.0247999999999982
-3.0,-2.8359000000000005
-2.48,-2.6663
1.66,1.1148999999999991
1.27,1.6532000000000002
1.39,1.571799999999998
1.52,1.5602000000000005
0.29,0.3396999999999998
1.1,0.25339999999999985
2.11,1.7911999999999992
0.71,0.8647999999999988
1.05,0.9033999999999988
0.99,0.8839999999999987
1.05,0.8030999999999986
-1.41,-2.6041999999999983
-2.15,-2.5014999999999996
-1.1,0.15080000000000002
0.85,0.3905999999999996
1.1,0.4046999999999998
1.45,1.5793000000000024
1.15,1.7057000000000004
1.66,1.6020000000000025
1.86,2.122100000000002
0.99,1.0015999999999985
1.52,0.6700999999999995
2.13,2.2951000000000032
1.99,0.26470000000000005
0.58,0.4415
0.2,0.032100000000000024
2.57,2.2118000000000033
0.8,1.0397999999999983
-3.0,-2.1836
1.74,1.592200000000002
-1.1,-2.701300000000001
-1.16,-1.853999999999999
-0.16,-0.0055999999999999835
1.66,1.4007000000000007
1.66,1.6645000000000012
1.59,1.5331000000000004
