Ligand ID,Surface Area_CoL2,Surface Volume_CoL2,P_int_CoL2,Vb_R2.5_CoL2,Vb_R3.0_CoL2,Vb_R3.5_CoL2,Vb_R4.0_CoL2,Vb_R4.5_CoL2,Surface Area_Free,Surface Volume_Free,P_int_Free,Surface Area_Res,Surface Volume_Res,P_int_Res,N_Mulliken_CoL2,N_NPA_CoL2,O_Mulliken_CoL2,O_NPA_CoL2,Co_Mulliken_CoL2,Co_NPA_CoL2,N_Mulliken_Free,N_NPA_Free,O_Mulliken_Free,O_NPA_Free,N_Mulliken_Free,N_NPA_Free,O_Mulliken_Free,O_NPA_Free
L168,816.7,855.9,22.6,0.422874072,0.42536688,0.429492406,0.429427099,0.425258879,761.4,809.5,22.9,798.8,816.7,21.9,-0.468316,-0.56679,-0.4874735,-0.53257,-0.033437,0.51047,-0.434307,-0.550215,-0.4926325,-0.54292,-0.4333085,-0.53662,-0.493328,-0.545095
L169,743.9,785.2,22.3,0.427708686,0.429352279,0.425375047,0.414860189,0.40356352,717.1,746.3,22.8,726.1,746,21.6,-0.468974,-0.56573,-0.481941,-0.53448,-0.017689,0.50724,-0.436169,-0.551375,-0.492546,-0.55469,-0.4341265,-0.53661,-0.494701,-0.56049
L17,511.5,548.2,21.2,0.422060164,0.43113081,0.428502376,0.416675718,0.399213594,494.1,508.3,20.9,498.6,512.6,20.4,-0.509228,-0.48598,,,-0.107086,0.48895,-0.47226025,-0.4827125,,,-0.493697,-0.4891075,,
L170,813.8,855.4,23.1,0.437036072,0.44054492,0.45114494,0.459499721,0.462747482,788.5,822.7,23.6,800.6,817.5,22.2,-0.467995,-0.565965,-0.4831275,-0.53482,-0.029482,0.51696,-0.4317855,-0.54558,-0.491961,-0.55563,-0.4342025,-0.53494,-0.495718,-0.56091
L171,841.9,900.2,22.9,0.430362026,0.431875745,0.42783265,0.417141239,0.405696422,798.6,854.6,23.4,824.4,861.9,22.2,-0.46839,-0.565745,-0.481983,-0.5342,-0.018445,0.50697,-0.4376985,-0.553455,-0.4884245,-0.55142,-0.432728,-0.535655,-0.4947965,-0.560365
L18,564.6,598.5,21.2,0.402168251,0.404424911,0.398446236,0.385427658,0.368831951,538.3,557.7,20.8,542.5,559.3,20.5,-0.510814,-0.4858,,,-0.072189,0.49661,-0.4743685,-0.48293,,,-0.494974,-0.4890575,,
L19,581.7,619.1,21.1,0.383936711,0.377476907,0.369566483,0.357923158,0.345150226,567.4,576.3,20,555,579.7,20.6,-0.51193375,-0.48822,-0.493829,-0.52691,-0.041476,0.51836,-0.48949,-0.48422,-0.497854,-0.5314,-0.496588,-0.490085,-0.4962585,-0.53004
L2,602.3,663.7,23.1,0.424908842,0.43511621,0.440621506,0.436452579,0.424705301,584.8,625.3,22.6,583.6,624.7,22.3,-0.467091,-0.56764,-0.476416,-0.53314,0.003205,0.5119,-0.430866,-0.54339,-0.495518,-0.55751,-0.429683,-0.5348,-0.4888105,-0.55945
L20,674.8,736.7,22.7,0.372541998,0.36469197,0.360539741,0.354897275,0.348303447,676.6,697.4,21.1,644.1,693.8,22.2,-0.50813575,-0.488305,,,-0.019878,0.5271,-0.48190875,-0.4756725,,,-0.49088475,-0.4881125,,
L21,573.6,619,21.3,0.381690324,0.375987038,0.368791931,0.357360654,0.344520667,544,574.5,20.9,543.1,576.5,20.6,-0.5102345,-0.48036,,,-0.029513,0.52834,-0.47899175,-0.4796525,,,-0.491022,-0.478245,,
L22,568.3,599.1,21.4,0.405700612,0.408726907,0.401701687,0.386250078,0.367882186,551.4,557.5,20.1,543.9,560.1,20.7,-0.5109285,-0.4829375,,,-0.078011,0.50737,-0.48749025,-0.4784925,,,-0.495929,-0.483075,,
L23,620.1,691.2,22.1,0.381690324,0.383427071,0.384632408,0.381680218,0.375274075,633.7,652.5,20.6,592.4,651.8,21.4,-0.50675175,-0.49125,,,-0.032126,0.52862,-0.48190025,-0.47999,,,-0.490593,-0.49143,,
L24,611.5,645.2,20.9,0.378402136,0.369990316,0.35665533,0.339826051,0.325864558,577.7,602.1,20.6,586.8,607.2,20.3,-0.5120445,-0.4845,,,-0.049968,0.51292,-0.4767025,-0.481055,,,-0.49542875,-0.487065,,
L25,694.3,740.9,21.7,0.381674046,0.381555423,0.376671403,0.368187884,0.360596127,681.7,705.4,20.8,668.5,700.8,21.2,-0.507238,-0.484235,,,-0.049484,0.52015,-0.499376,-0.4953825,,,-0.49345475,-0.484195,,
L26,722.4,784.9,21.9,0.374625602,0.367587902,0.354820863,0.337731208,0.323612257,675.1,736.6,21.5,694.4,744,21.5,-0.50214225,-0.4813825,,,-0.04327,0.53053,-0.476184,-0.4800675,,,-0.48764975,-0.4821075,,
L27,329.1,323.2,19.7,0.362237922,0.352484356,0.339813176,0.321143163,0.29742315,296.8,281.2,18.9,295.6,280.5,18.8,-0.432301667,-0.500923333,-0.468427,-0.50515,0.0589,0.55799,-0.401706667,-0.48615,-0.488219,-0.53784,-0.404172667,-0.488346667,-0.48394,-0.53221
L28,503.5,526.1,21,0.418592916,0.432676549,0.437855246,0.434679722,0.42389393,486.1,488.6,20,485.8,490.8,20,-0.494797,-0.514835,-0.48513,-0.51686,-0.045101,0.50805,-0.4496595,-0.50427,-0.484779,-0.5306,-0.447694,-0.491445,-0.497099,-0.54324
L29,543.4,556.3,21.3,0.395705821,0.399871499,0.397957044,0.390342778,0.379070424,516.9,516.2,20.4,515.5,514.5,20.4,-0.4916745,-0.516215,-0.480774,-0.51646,-0.000894,0.52819,-0.449275,-0.50416,-0.481211,-0.53057,-0.444191,-0.491535,-0.493193,-0.54304
L3,918.5,1035.6,24.1,0.427171507,0.440433179,0.4642541,0.4914577,0.509481374,922,1005.5,22.8,903,997.2,23.4,-0.4651695,-0.55642,-0.49346,-0.54212,-0.002544,0.53832,-0.430146,-0.542535,-0.4940565,-0.55556,-0.42277,-0.518235,-0.505201,-0.56784
L30,603.2,623.6,22.3,0.39961258,0.409602205,0.412597838,0.411015766,0.407197052,578,581.6,21.5,579.6,584.7,21.6,-0.491664,-0.513285,-0.487414,-0.51866,0.003561,0.53751,-0.4379565,-0.483655,-0.505927,-0.55281,-0.441369,-0.48602,-0.499786,-0.54299
L31,398.1,399.6,19.9,0.391131658,0.387431094,0.379059122,0.364397772,0.344702479,369.9,359.6,19,367.4,358.5,18.9,-0.4930845,-0.517,-0.481415,-0.51638,0.017775,0.52887,-0.448464,-0.491475,-0.497925,-0.55248,-0.4484645,-0.49209,-0.494107,-0.54275
L32,321.3,319.2,19.5,0.408777185,0.397003501,0.379513371,0.357081342,0.330958015,293.2,278.4,18.6,295.9,279.5,18.6,-0.494877,-0.51231,-0.479245,-0.51914,0.021855,0.53248,-0.4587065,-0.5021,-0.479865,-0.53322,-0.4519585,-0.48828,-0.491712,-0.54639
L33,379.6,383.7,20.5,0.383187915,0.381788215,0.373089825,0.355940817,0.333112626,353,343.2,19.6,354.6,345.1,19.7,-0.503126,-0.50437,-0.483904,-0.521,0.028797,0.53551,-0.449717,-0.475565,-0.504281,-0.5579,-0.4517225,-0.478275,-0.496726,-0.54754
L34,524,554,20.8,0.416281417,0.431447408,0.437616474,0.436177146,0.429418852,509,515.7,19.9,509.7,516.9,19.9,-0.4807125,-0.518305,-0.486797,-0.52431,-0.03173,0.53926,-0.4420295,-0.49149,-0.504661,-0.55816,-0.4477975,-0.49379,-0.498227,-0.55002
L35,608.2,618.7,21.1,0.499983722,0.496070471,0.481422382,0.456299268,0.425234456,587.6,580.3,20.1,588.1,581.5,20.2,-0.4751195,-0.49541,-0.4532035,-0.52347,-0.060408,0.45589,-0.44538575,-0.492055,-0.4778295,-0.52882,-0.446139,-0.488535,-0.4759895,-0.53128
L36,371.7,379.7,19.8,0.488784347,0.480976237,0.463974562,0.438287505,0.404738516,356.8,342.7,18.5,354.4,343.3,18.6,-0.455047,-0.479293333,-0.488368,-0.52219,-0.065922,0.42883,-0.437409333,-0.484666667,-0.482372,-0.5295,-0.427811333,-0.46833,-0.498202,-0.54482
L37,646.4,704.7,24.4,0.485789165,0.514600715,0.531774133,0.535437744,0.526465895,343.4,339.1,20.4,642,673.5,23.7,,,,,-0.599843,0.13588,,,,,,,,
L38,598.5,757,22.4,0.5084972,0.553942566,0.583739051,0.596991186,0.594322573,610.7,734.2,21.5,603.9,727.9,22,,,,,-0.682316,0.14381,,,,,,,,
L39,566.9,698.6,23,0.478333767,0.514833507,0.543852497,0.55811247,0.558662947,554.6,668.9,22.2,562.4,669.3,22.4,,,,,-0.590745,0.15813,,,,,,,,
L4,1075.2,1225.1,24.3,0.426097148,0.439045739,0.459857203,0.481902892,0.504358067,1052.1,1182.1,24.2,1057.4,1186.5,23.6,-0.464503,-0.55594,-0.494092,-0.542535,-0.02654,0.53337,-0.4420335,-0.549955,-0.487121,-0.547905,-0.4213415,-0.517515,-0.505821,-0.56813
L40,515.5,547.4,23,0.41333507,0.427732047,0.437173873,0.438221557,0.42984489,505.2,517.6,21.5,495.5,511.5,22.4,,,,,-0.438434,0.17364,,,,,,,,
L41,403,449.2,20.6,0.434073447,0.450005587,0.459863026,0.459410496,0.446118444,378.9,413.4,19.5,386.7,413.4,19.7,,,,,-0.576668,0.12695,,,,,,,,
L42,636.2,703.9,24.3,0.414979164,0.445833954,0.47392145,0.495624108,0.508846388,589.2,664.8,22.5,616.5,665.1,23.4,,,,,-0.516484,0.21484,,,,,,,,
L43,543,597.7,22.3,0.441642792,0.447845277,0.457842201,0.460985507,0.455928165,531.3,564.7,22,529.4,565.1,21.6,-0.500311,-0.57359,-0.483509,-0.52734,-0.301052,0.32582,-0.453233,-0.55491,-0.491055,-0.54746,-0.459844,-0.559,-0.49193,-0.55173
L44,556.1,618.2,22.5,0.476233885,0.499878948,0.516026836,0.519994103,0.511019994,545.6,583.8,22,550.2,584.9,21.7,-0.507756,-0.57424,-0.483302,-0.52733,-0.389513,0.32443,-0.45391,-0.55652,-0.492763,-0.54666,-0.471415,-0.55979,-0.491707,-0.55122
L45,599.1,647.4,22.7,0.438126709,0.456346841,0.467410548,0.470846782,0.465398684,582.8,616.7,22.2,580.6,609,22,-0.497661,-0.58097,-0.481561,-0.52525,-0.27665,0.34886,-0.451234,-0.5621,-0.491398,-0.54575,-0.455171,-0.56488,-0.489516,-0.54874
L46,568.5,624.2,23.6,0.442831098,0.471636621,0.490687896,0.498649991,0.496317623,556,589.2,22.6,552.9,585.1,23,-0.483791,-0.58059,-0.475788,-0.52146,-0.229976,0.36985,-0.448072,-0.55765,-0.483011,-0.54508,-0.43911,-0.5593,-0.483439,-0.54409
L47,491.8,561.6,22.4,0.474345618,0.491982643,0.501630637,0.49935603,0.483943535,470.5,524.5,21.4,480.8,529,21.8,-0.443181,-0.5184,,,-0.268964,0.36382,-0.374142,-0.51904,,,-0.371868,-0.50527,,
L48,549.1,592.7,22.3,0.464692668,0.47323823,0.476606178,0.471017473,0.457518344,531.5,558.5,21.5,534.4,558.4,21.4,-0.471003,-0.56474,-0.470357,-0.52321,-0.303174,0.3333,-0.444302,-0.54151,-0.472807,-0.5425,-0.44131,-0.54124,-0.484593,-0.54943
L49,502.5,544.1,21.6,0.431810783,0.445703591,0.454703224,0.455135466,0.446642172,465,500.9,20.8,484,505.6,20.8,-0.511245,-0.69035,-0.470491,-0.52192,-0.274168,0.33384,-0.4967485,-0.670595,-0.487413,-0.54569,-0.4933225,-0.68152,-0.484569,-0.5483
L5,469.9,486.1,20.8,0.43156661,0.433216627,0.428426668,0.416757185,0.399824158,452.5,444.5,20.6,454,446.8,20,-0.4712665,-0.56419,-0.482033,-0.534275,-0.012469,0.5045,-0.4377655,-0.551365,-0.490311,-0.55314,-0.4365405,-0.536905,-0.494814,-0.5605
L50,556,604.9,22.3,0.489044797,0.510810861,0.518484439,0.513864751,0.499712357,541.6,568,21.1,546.8,572.8,21.5,-0.480523,-0.58899,-0.473713,-0.52831,-0.269089,0.3665,-0.448838,-0.55879,-0.490424,-0.55245,-0.446683,-0.5627,-0.489197,-0.55357
L51,512.8,560.8,22.1,0.44971676,0.469513558,0.479098723,0.477728726,0.466465135,515,529.7,20.6,502.7,529,21.4,-0.453239,-0.58011,-0.468832,-0.52315,-0.265919,0.36618,-0.447414,-0.56107,-0.482377,-0.54954,-0.424258,-0.56095,-0.483429,-0.54722
L52,399.5,414.6,20.4,0.313191822,0.344485623,0.36079016,0.364735274,0.35921761,374.6,370.1,19.7,376.7,371.1,19.7,-0.51051,-0.62138,-0.480425,-0.51943,0.162189,0.76316,-0.449521,-0.55937,-0.492814,-0.54914,-0.461022,-0.57364,-0.491434,-0.54451
L53,516.7,566.6,22.2,0.420627686,0.436149806,0.441623183,0.438753026,0.429467697,491.4,526.6,21.1,495.8,527.3,21.6,-0.784382,-0.90239,-0.61839,-0.93971,-0.274416,0.36376,-0.731988,-0.89778,-0.670871,-0.97835,-0.713464,-0.88619,-0.640965,-0.96001
L54,578.9,632.9,22.9,0.481801016,0.504022646,0.512445257,0.509194029,0.496426168,552.3,594,22.4,567.4,598.4,22.1,-0.775141,-0.87702,-0.608068,-0.9299,-0.351525,0.34601,-0.717645,-0.89074,-0.671921,-0.97994,-0.717067,-0.86377,-0.639241,-0.95942
L55,760.5,809.8,21.4,0.538139732,0.52665003,0.510133246,0.488222333,0.462443557,753,775.9,20.7,754.5,781.3,20.8,-0.499741,-0.562076667,-0.5013755,-0.54518,-0.10922,0.40127,-0.481287333,-0.561993333,-0.5088265,-0.56687,-0.564449333,-0.565993333,-0.5006435,-0.55025
L56,504.1,553.5,21.9,0.412879281,0.424854738,0.428758619,0.423084383,0.40452414,477.7,512.9,21.7,485.5,517.2,21.1,-0.599325,-0.77091,-0.627102,-0.79436,-0.320455,0.41023,-0.5236,-0.83982,-0.642023,-0.81127,-0.502285,-0.69384,-0.6348175,-0.812945
L57,506.2,538.6,21.9,0.453249121,0.465053263,0.469437197,0.464511824,0.451344868,479.1,501.8,21.2,492.9,506.8,21.1,-0.461657,-0.56835,-0.470677,-0.51994,-0.290669,0.34116,-0.442885,-0.54255,-0.481926,-0.5432,-0.440551,-0.54848,-0.48345,-0.54427
L58,523.6,572.4,21.8,0.432836307,0.44625298,0.45186708,0.449099218,0.438718414,512.8,535.7,21,502.5,531.8,21.4,-0.496969,-0.57374,-0.4839105,-0.523505,-0.266737,0.35188,-0.441666,-0.54137,-0.487487,-0.53395,-0.45311,-0.5439,-0.4897925,-0.537515
L59,525.2,573.2,21.9,0.43192473,0.444772423,0.450218971,0.447663863,0.437955887,505.1,532.9,21.3,503.6,535.4,21.3,-0.495403,-0.57008,-0.479618,-0.52721,-0.255283,0.36034,-0.443247,-0.53294,-0.504533,-0.55109,-0.450475,-0.53896,-0.488975,-0.5511
L6,849.6,952,24.5,0.427757521,0.442621424,0.467637672,0.493955993,0.512303534,827.9,906.5,23.4,833.9,912.2,23.7,-0.4642465,-0.557125,-0.49359,-0.542295,-0.002714,0.54214,-0.431771,-0.54392,-0.503143,-0.55771,-0.422406,-0.51815,-0.505301,-0.567995
L60,512.4,538.9,21.7,0.431680557,0.442146529,0.446637393,0.442837968,0.431690148,487.9,503.3,21.2,496,506,21,-0.469275,-0.56741,-0.476614,-0.52051,-0.276046,0.33572,-0.43734,-0.53809,-0.501359,-0.54968,-0.439672,-0.54815,-0.488376,-0.54506
L61,522.6,544.4,21.6,0.429548118,0.436717819,0.436585678,0.429050804,0.416743552,490.7,503.7,21.1,500.7,506.1,20.8,-0.470478,-0.56467,-0.473951,-0.52204,-0.272764,0.34281,-0.431737,-0.54527,-0.478495,-0.54407,-0.445172,-0.54542,-0.485101,-0.5464
L62,539.4,572.3,21.8,0.42811564,0.440423868,0.446031728,0.442081497,0.43100089,495.8,531.7,21.7,519.5,535.8,21,-0.465879,-0.56679,-0.477801,-0.52255,-0.261733,0.34832,-0.452304,-0.54391,-0.488036,-0.5457,-0.438681,-0.54578,-0.488662,-0.54681
L63,524.2,544.6,22.3,0.439461518,0.454205155,0.462553578,0.462541121,0.453925517,495.9,503.7,21.8,500.3,504.7,21.4,-0.461432,-0.56727,-0.472154,-0.52255,-0.256161,0.35297,-0.437557,-0.53788,-0.496687,-0.54957,-0.433271,-0.54357,-0.482941,-0.54619
L64,494.5,518.3,21.8,0.432217737,0.444418579,0.449153233,0.444416858,0.432102618,457.5,479.4,21.5,475.8,482.7,21,-0.473264,-0.56849,-0.477224,-0.52247,-0.271923,0.33847,-0.442088,-0.5394,-0.504028,-0.55296,-0.44156,-0.54806,-0.48813,-0.54683
L65,610.7,641.4,21.4,0.45440487,0.465034639,0.468889769,0.463638973,0.450403243,593.5,607,20.7,597.8,609,20.7,-0.464216,-0.56638,-0.4784575,-0.5188,-0.303147,0.33477,-0.446749,-0.54438,-0.489481,-0.534005,-0.443076,-0.54714,-0.4861755,-0.53319
L66,589.7,642.3,21.7,0.432347962,0.444697929,0.449846254,0.447295326,0.437812066,576.5,604.6,21.1,568.4,604.5,21.2,-0.498321,-0.57118,-0.479734,-0.52644,-0.244957,0.36553,-0.424358,-0.53831,-0.488636,-0.54077,-0.45411,-0.54,-0.489065,-0.55038
L67,577.3,605.6,21.6,0.452077093,0.46304194,0.467422195,0.462638104,0.449610867,535.6,569.4,21.3,561.7,571.1,20.8,-0.463336,-0.56849,-0.469032,-0.51895,-0.282905,0.3447,-0.447804,-0.54214,-0.489351,-0.54571,-0.441829,-0.54846,-0.482121,-0.54351
L68,682.3,789.4,25.3,0.467166949,0.492066448,0.507856178,0.511420768,0.505277983,699.1,762.4,24.8,677.5,758.1,24.9,,,,,-0.511398,0.15803,,,,,,,,
L69,740.5,849.4,24.2,0.432624691,0.446010876,0.469833209,0.493304264,0.509809721,729,815.3,22.9,724.5,811.2,23.3,-0.465449,-0.55498,-0.492959,-0.54111,-0.031668,0.5305,-0.437111,-0.548075,-0.4966055,-0.55117,-0.423234,-0.517175,-0.5045745,-0.56702
L7,898.9,993.5,23.7,0.42749707,0.436010131,0.45260669,0.463879492,0.46664152,848,952.3,24.6,891,962,23,-0.466102,-0.56909,-0.4761595,-0.53351,0.010215,0.52299,-0.423219,-0.54382,-0.4964025,-0.557385,-0.429039,-0.534305,-0.4885295,-0.5598
L70,747.3,837.7,23.6,0.443417112,0.462185265,0.488492359,0.516285457,0.538460077,737.7,798.8,22.2,723.2,798.6,22.7,-0.4684195,-0.556735,-0.487874,-0.53716,-0.014122,0.53787,-0.4382215,-0.54836,-0.486401,-0.549955,-0.427315,-0.517325,-0.500112,-0.562825
L71,1023.2,1199.8,25.8,0.438094153,0.463200238,0.486797661,0.506140991,0.522189237,966.8,1149.9,25.6,998.5,1159.6,25.4,-0.4667715,-0.556605,-0.5080255,-0.53545,0.014282,0.55327,-0.430075,-0.53212,-0.5196895,-0.55285,-0.421556,-0.51387,-0.5170595,-0.559035
L72,452.7,457,20.5,0.423736815,0.428588722,0.431204575,0.428236143,0.41989406,412.7,414.2,20.3,423.7,418.2,19.3,-0.4762505,-0.565135,-0.488044,-0.5343,-0.000415,0.51088,-0.4305765,-0.549465,-0.4878105,-0.544595,-0.4391335,-0.538455,-0.499801,-0.55897
L73,606.8,642.1,22.3,0.439901029,0.445303188,0.44215314,0.434935758,0.426889762,573.7,602.1,22.5,582.4,600.8,21.6,-0.4918115,-0.56572,-0.4933995,-0.53434,0.001788,0.51911,-0.452111,-0.54948,-0.487734,-0.54704,-0.447137,-0.536955,-0.505265,-0.55791
L74,494.3,515,20.8,0.427366845,0.434957911,0.442025019,0.446480665,0.445345063,467.2,476.8,19.9,467.2,475,19.8,-0.463963,-0.565375,-0.477351,-0.529125,-0.010286,0.51102,-0.4453085,-0.55588,-0.4876145,-0.54693,-0.4307705,-0.53368,-0.4896335,-0.55557
L75,644.5,702.8,22.5,0.438175544,0.448329485,0.457568487,0.461811806,0.461998524,615.9,660.8,21.9,618.5,659.4,21.9,-0.4818655,-0.56405,-0.488703,-0.53086,0.006386,0.52748,-0.4479245,-0.549075,-0.499121,-0.54808,-0.436469,-0.5283,-0.5009055,-0.55611
L76,848,1013.9,24.4,0.450921344,0.476990837,0.517278932,0.554178822,0.578784409,883.1,984.9,22.9,834.1,976.7,23.6,-0.4738435,-0.56882,-0.484746,-0.533695,0.023452,0.57439,-0.4383545,-0.553555,-0.481691,-0.54071,-0.428935,-0.524945,-0.497544,-0.559275
L77,464,471.1,20.5,0.423639146,0.428188319,0.432334374,0.432999969,0.428517932,432.6,428.4,19.7,435.8,429.6,19.4,-0.4659895,-0.56318,-0.4797825,-0.5296,-0.005514,0.51088,-0.437588,-0.549515,-0.4855505,-0.550965,-0.4328275,-0.534035,-0.4927955,-0.55581
L78,643.7,664.1,21.9,0.42572275,0.428495605,0.433580647,0.437546552,0.438921935,594.6,615,21.9,613.8,619.8,21.1,-0.4740825,-0.565135,-0.4836625,-0.52903,-0.001777,0.51772,-0.432458,-0.549165,-0.49207,-0.54711,-0.437179,-0.53238,-0.496482,-0.553965
L79,620.4,657.2,22.3,0.439070843,0.443748138,0.442473444,0.438015952,0.432406543,576.3,612.5,22.4,593.8,617.6,21.6,-0.4809225,-0.564785,-0.485656,-0.52996,0.003787,0.52048,-0.4277615,-0.55116,-0.496425,-0.547185,-0.4381505,-0.53208,-0.498624,-0.55504
L8,968.8,1043,22.3,0.451263185,0.45395374,0.447173174,0.440440538,0.440913729,960.1,1006.6,20.8,953,1005.7,21.6,-0.465231,-0.56247,-0.484381,-0.53414,-0.046831,0.49755,-0.4373325,-0.54697,-0.4960475,-0.55717,-0.430802,-0.532155,-0.4968305,-0.560305
L80,779.3,838.1,23.7,0.415207058,0.421251117,0.42877609,0.436378872,0.441182377,735.5,795.9,23.5,753.4,797.1,23.2,-0.472538,-0.56215,-0.4995225,-0.533695,0.004424,0.52405,-0.430894,-0.53678,-0.511126,-0.551235,-0.4291515,-0.526125,-0.510401,-0.55731
L81,507.6,518.6,20,0.419097539,0.412162917,0.401655097,0.386785426,0.369749153,466.7,477.7,19.7,483.5,478.2,19.2,-0.4820345,-0.567745,-0.4767075,-0.527665,-0.017787,0.49536,-0.449002,-0.557905,-0.490847,-0.5497,-0.445126,-0.545645,-0.489996,-0.55463
L82,681,747,23.4,0.422157833,0.4322389,0.439648947,0.443245298,0.442468631,660.1,707.7,22.9,651.8,701.5,22.8,-0.481261,-0.5625,-0.490794,-0.53309,0.009769,0.5289,-0.4453495,-0.551085,-0.494683,-0.54597,-0.4333315,-0.526945,-0.5026905,-0.55764
L83,825.3,923.4,24.5,0.442098581,0.458758567,0.477310846,0.49063916,0.500841221,776.2,881.6,24.5,805.8,888,24.1,-0.4734995,-0.553865,-0.509676,-0.536255,-0.001123,0.5362,-0.423456,-0.53752,-0.5153215,-0.55168,-0.42837,-0.515355,-0.51999,-0.56043
L84,596.3,654.2,23.2,0.443368277,0.466785235,0.488387533,0.505861678,0.516067319,584.1,614,22.4,571.3,613.3,22.4,-0.47222,-0.56022,-0.4858955,-0.534675,0.000274,0.53868,-0.4258875,-0.553415,-0.4807475,-0.544315,-0.429112,-0.5219,-0.498254,-0.56031
L85,731.9,833.6,24.3,0.436059383,0.45849784,0.476478056,0.487605518,0.492988017,732.3,798.2,23.2,707.8,790,23.8,-0.481791,-0.559515,-0.4928615,-0.53403,0.012355,0.53471,-0.430696,-0.541715,-0.497251,-0.54924,-0.42997,-0.520635,-0.504407,-0.55835
L86,901.2,1017.6,24.5,0.439852194,0.456356153,0.477211843,0.497990503,0.515603291,902.9,986.8,23.6,876.3,977.5,23.8,-0.476309,-0.555745,-0.497203,-0.537175,-0.000577,0.5413,-0.43408,-0.542215,-0.5004995,-0.553725,-0.4267575,-0.515295,-0.508483,-0.56164
L87,404.9,420,18.9,0.426618049,0.42503166,0.420407426,0.410647229,0.39626118,383.3,381.6,18.1,384.5,380.9,17.9,-0.489417,-0.565835,-0.4814965,-0.530445,-0.025454,0.49555,-0.4487055,-0.55568,-0.493924,-0.55302,-0.4488195,-0.54305,-0.4945025,-0.557395
L88,432.6,461,19.4,0.474345618,0.479951952,0.478539648,0.468825647,0.450541638,415.6,429.3,18.4,421.7,427.4,18.2,-0.48944,-0.570965,-0.4781185,-0.527395,-0.087593,0.48989,-0.4477275,-0.558615,-0.4909245,-0.54775,-0.4545395,-0.54787,-0.491592,-0.55402
L89,469.2,471.9,20.7,0.390692147,0.388269145,0.378983414,0.362892589,0.346960208,439.3,432.4,19.9,439.9,433.3,19.8,-0.511328,-0.51778,-0.488922,-0.51766,0.019096,0.52739,-0.465496,-0.50418,-0.491854,-0.53128,-0.460371,-0.492905,-0.501701,-0.54219
L9,944.4,1030.4,22.7,0.453379346,0.456849672,0.461668375,0.462568276,0.459029828,949.6,988.6,21.1,930.9,992.5,21.9,-0.474776,-0.564625,-0.4930995,-0.538025,-0.01153,0.50768,-0.441136,-0.54927,-0.491043,-0.548545,-0.4369275,-0.536675,-0.5043335,-0.562715
L90,429.5,436.5,20.9,0.390708426,0.388948897,0.380054976,0.363971045,0.344409409,405.3,398.3,20.3,403.6,396.6,20.3,-0.489531,-0.51818,-0.487817,-0.51784,0.033475,0.54043,-0.4421845,-0.48975,-0.506138,-0.5533,-0.4435085,-0.49103,-0.50058,-0.54291
L91,510,542.3,21.8,0.431192213,0.444642059,0.450242266,0.44598799,0.434534018,471.8,499,21.4,492.1,504.9,21,-0.468404,-0.56599,-0.477169,-0.5248,-0.258744,0.352,-0.450457,-0.55133,-0.496321,-0.54595,-0.438842,-0.54535,-0.48824,-0.54866
L92,536.5,570.1,21.9,0.466483266,0.476422825,0.477118664,0.467894606,0.450994812,522,534.4,20.9,526.5,540,21.1,-0.469974,-0.56157,-0.476831,-0.52455,-0.341399,0.31066,-0.453035,-0.54728,-0.48305,-0.54381,-0.458942,-0.54552,-0.488785,-0.54913
L93,476.1,494.2,20.9,0.428848157,0.429957539,0.42416954,0.410980852,0.392839311,465.3,457.4,20.2,459.6,455.6,20.1,-0.471698,-0.5613,-0.481437,-0.53687,-0.009109,0.50464,-0.4362215,-0.545835,-0.491839,-0.555325,-0.434914,-0.53457,-0.4939235,-0.56246
L94,494,516.6,21.2,0.422027608,0.42991098,0.430505731,0.421354199,0.403900009,479.4,477.6,20.5,474.9,476.5,20.3,-0.4596735,-0.571225,-0.475381,-0.530435,0.002072,0.51273,-0.4364395,-0.546365,-0.494689,-0.55465,-0.4309185,-0.542755,-0.4877715,-0.55656
L95,508.5,535.6,21.2,0.426683162,0.428272125,0.425089685,0.414406306,0.39734934,491.5,496,20.4,491,498.4,20.4,-0.4693375,-0.568205,-0.476618,-0.536635,-0.011274,0.5054,-0.4366885,-0.549745,-0.4913735,-0.556595,-0.434111,-0.53822,-0.488163,-0.562815
L96,540.6,563,21.6,0.426552937,0.427508567,0.42218948,0.410678263,0.393821639,516.7,524,22.1,523,523.6,20.9,-0.470572,-0.561895,-0.476674,-0.53458,-0.01191,0.50664,-0.427292,-0.545595,-0.488439,-0.55095,-0.4321,-0.5328,-0.489806,-0.56065
L97,528.4,574.5,22.6,0.432575856,0.45085295,0.466956299,0.471254112,0.465648337,513.7,535.6,21.2,511.2,536.8,21.5,-0.466736,-0.560115,-0.4875655,-0.536885,-0.019183,0.5197,-0.437381,-0.549795,-0.4879565,-0.54872,-0.4269245,-0.5259,-0.499981,-0.562995
L98,454,465.2,20.7,0.42510418,0.428169696,0.425497344,0.414220098,0.396128213,433.9,422.4,19.6,434.5,422.9,19.7,-0.4551455,-0.567895,-0.476779,-0.53015,-0.011107,0.51095,-0.434759,-0.54577,-0.492273,-0.556785,-0.4308885,-0.54065,-0.490523,-0.556205
