No,yield20,,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
L160,0,160.00 ,CoH2L160,21.88,9.14,6.24,5.46,10.68,6.610098335,70,505.53859,-0.169156,705,-0.027864,0.141292,66,8.042,6.932,13.507,14.442,0.414036295,0.897910967,1.011419,4.619008,10.582165,30.113333,486.9006,4186.97587,1.353,-137.44444,-24.9703,1825.94597,0,1825.94597,-0.09699117,0,-0.09699117,0.00219782,0,0.03841029,2.63926388,0,511.32,5.47289,14.42226,0.37699927,0.00316489,-39.70461,-12.66178,-0.7565814,0.043911
L161,0,161.00 ,CoH2L161,23.2,9.14,6.29,5.67,11.075,7.121623761,64,477.48535,-0.16983,661,-0.02797,0.14186,46,7.935,6.74,12.344,14.433,0.430617299,0.909451796,0.903931,4.339566,12.193992,36.025324,570.1316,3885.03466,1.3772,-140.52149,-24.87877,1717.91527,0,1717.91527,-0.09807225,0,-0.09807225,0.00250485,0,0.04120521,2.66868157,0,481.07,5.48006,14.547,0.37596,0.00396638,-39.48205,-12.38888,-0.7602485,0.047543
L162,1,162.00 ,CoH2L162,7.71,25.67,7.1,7.11,11.8975,7.955392432,82,669.67704,-0.204771,937,-0.04009,0.164681,76,10.64,11.437,12.687,19.765,0.450340632,0.928806391,2.145576,9.156066,12.289811,19.075505,509.711,5213.12654,1.4395,-74.93226,30.16213,2315.68796,1113.11007,1202.57789,-0.00708149,0.02208238,-0.03407566,0.00105053,0.14568959,0.02860568,0.77037347,231.21,417.25,6.31152,15.20981,0.39853664,0.00347027,-40.27599,-11.64245,-0.7932901,0.043007
L163,1,163.00 ,CoH2L163,6.17,24.71,6.71,6.72,11.0775,7.873872538,110,851.93851,-0.199869,1210,-0.038756,0.161113,104,10.913,11.337,12.721,21.738,0.474670277,0.995968111,2.270517,9.107209,10.451671,35.041054,921.4455,6829.32861,1.3979,-75.69192,31.28944,2645.74002,1322.30834,1323.43167,-0.00551275,0.01879603,-0.02980088,0.00092761,0.15772465,0.02475069,0.66125812,328.75,412.13,6.25946,15.14201,0.39750543,0.00277079,-42.08094,-12.07302,-0.7888849,0.039704
L164,1,164.00 ,CoH2L164,3.68,19.99,5.98,6,8.9125,6.464755893,102,799.86381,-0.187445,1132,-0.058712,0.128733,91,10.578,12.134,12.669,20.959,0.458000087,0.990688221,2.390342,10.225603,11.989592,37.767724,726.4792,6376.78015,1.4056,-76.25919,30.21528,2605.65648,1354.43677,1251.21971,-0.00550854,0.01994868,-0.03306581,0.00097595,0.13538153,0.02677409,0.71422924,282.59,447.07,6.28913,14.9325,0.39687647,0.00292653,-41.61409,-11.70007,-0.799566,0.043666
L165,1,165.00 ,CoH2L165,8.27,25.58,6.91,6.79,11.8875,7.926709201,126,824.05438,-0.211054,1192,-0.037895,0.173159,109,11.59,11.855,15.008,22.892,0.460094463,0.987575496,1.947516,9.792377,10.488739,21.298799,627.046,7227.75995,1.2776,-72.19526,28.82961,3093.7339,1273.90753,1819.82637,-0.00783277,0.01682068,-0.02509058,0.00083215,0.14761022,0.02167041,0.59008653,443.04,423.3,6.27625,15.19068,0.39580205,0.00218884,-41.61086,-11.97033,-0.7288682,0.032696
L166,1,166.00 ,CoH2L166,3.61,11.85,6.81,6.92,7.2975,2.945465795,96,771.81057,-0.187112,1088,-0.059908,0.127204,85,9.676,12.108,13.518,18.952,0.425142447,0.979330302,2.17599,9.749422,11.654238,41.21407,699.7358,6078.65819,1.4228,-76.13618,34.14713,2550.35062,1271.41684,1278.93378,-0.00556219,0.02099016,-0.03195848,0.00095998,0.15202965,0.0268185,0.72084265,270.81,443.36,6.3104,15.19509,0.39811648,0.00289887,-40.33821,-11.59863,-0.8071414,0.04404
L167,1,167.00 ,CoH2L167,8.91,25.22,7.94,8.07,12.535,7.333145642,90,699.74616,-0.204075,986,-0.03802,0.166055,85,9.414,12.136,12.252,17.422,0.416694571,0.925323986,2.407773,9.879171,11.278095,35.321263,460.7995,5605.81693,1.3988,-74.6651,29.23057,2449.09464,1201.79716,1247.29748,-0.00608613,0.01998534,-0.03120653,0.00099966,0.13609005,0.0260935,0.69933711,281,404.82,6.33563,15.10105,0.39863208,0.00299117,-41.25581,-11.96396,-0.7754754,0.04073
L168,1,168.00 ,CoH2L168,8.56,24.87,8.06,8.29,12.445,7.175759542,92,731.74497,-0.19425,1022,-0.036136,0.158114,88,9.576,11.605,13.918,18.592,0.421443953,0.970760234,2.301979,9.246413,10.718259,32.375512,981.0501,5740.65934,1.4284,-79.06174,26.91482,2533.748,1241.28049,1292.46751,-0.00896401,0.01933088,-0.03613831,0.00100416,0.09894685,0.02853386,0.75931655,237.53,471.99,6.28082,15.04384,0.40020942,0.0032031,-41.29721,-11.71447,-0.7892529,0.045857
L169,1,169.00 ,CoH2L169,7.93,26.23,7.48,7.49,12.2825,8.054642683,84,671.69292,-0.204838,942,-0.040268,0.16457,78,10.747,11.512,12.436,20.07,0.455949839,0.933748953,2.130364,9.252778,11.467388,15.826933,504.7384,5297.2527,1.4209,-73.63169,29.34431,2348.45288,1179.63532,1168.81756,-0.00617347,0.02042623,-0.03301936,0.00097253,0.13142184,0.02714874,0.72637509,240.31,417.33,6.32299,15.1838,0.3971565,0.0032718,-41.24791,-11.8393,-0.7869341,0.04255
L170,1,170.00 ,CoH2L170,4.94,24.97,3.94,4.17,9.505,8.936398883,92,723.76763,-0.212687,1020,-0.037735,0.174952,89,10.146,10.707,12.725,20.181,0.462729003,0.994529864,1.885425,8.380671,11.133472,27.791394,644.0663,5792.56748,1.4001,-71.65356,28.87243,2518.65433,1161.45487,1357.19946,-0.00826483,0.01941409,-0.03195171,0.00082956,0.14347644,0.0262542,0.71212455,258.07,447.22,6.34068,15.18594,0.39861805,0.00298376,-41.26623,-12.15238,-0.7736204,0.037572
L171,1,171.00 ,CoH2L171,6.75,26.13,6.6,6.6,11.52,8.435309716,96,771.81057,-0.203627,1088,-0.040686,0.162941,90,10.627,11.537,15,19.857,0.428007932,0.934271196,2.039187,9.254721,11.435349,26.847297,708.9066,6061.23353,1.4269,-74.17604,29.5115,2661.86249,1289.27411,1372.58838,-0.0073595,0.01973194,-0.03280652,0.00088796,0.14213988,0.02679626,0.72038998,272.31,473.09,6.32072,15.21492,0.39693659,0.00307579,-41.24776,-11.96948,-0.8074443,0.046194
