iter	Logloss
0	0.6893035173
1	0.6847831607
2	0.6801459789
3	0.6762321591
4	0.6713460684
5	0.6676057577
6	0.6630733609
7	0.6593827009
8	0.6550046206
9	0.6510171294
10	0.6470600367
11	0.6431080103
12	0.6393100023
13	0.6349593401
14	0.631678462
15	0.6283655167
16	0.624122858
17	0.6200479269
18	0.615680933
19	0.6121690869
20	0.6079986095
21	0.6042566299
22	0.5997663736
23	0.5965001583
24	0.5925955772
25	0.5889938474
26	0.5853735209
27	0.5819765329
28	0.579220593
29	0.5758184195
30	0.5721875429
31	0.569355309
32	0.5662898421
33	0.5632049441
34	0.5600941777
35	0.5567017794
36	0.5536775589
37	0.5501601696
38	0.5467496514
39	0.5430116057
40	0.5405188799
41	0.5370935202
42	0.5341084003
43	0.5311387181
44	0.5282124281
45	0.5252846479
46	0.5224791765
47	0.5192997456
48	0.516403079
49	0.5133026838
50	0.5107768774
51	0.5080159903
52	0.5054892302
53	0.5024332404
54	0.5002214313
55	0.4968033135
56	0.49474895
57	0.4919687212
58	0.4892504811
59	0.4859970808
60	0.4833589196
61	0.4806812704
62	0.4776679873
63	0.4759356678
64	0.4734786749
65	0.4707867503
66	0.468084693
67	0.465438962
68	0.4631481171
69	0.4608496726
70	0.4587526321
71	0.4566200972
72	0.4537941217
73	0.4512571096
74	0.4486013353
75	0.4464671314
76	0.4443227649
77	0.4421346784
78	0.4399092793
79	0.4377283454
80	0.4356898665
81	0.4332453012
82	0.4309363365
83	0.4283017218
84	0.426024437
85	0.4238693714
86	0.4218576252
87	0.4192849994
88	0.4173014164
89	0.4148731232
90	0.41328758
91	0.4113400877
92	0.408926934
93	0.4071319997
94	0.4053818583
95	0.4032720327
96	0.4014705122
97	0.3994461894
98	0.3976970315
99	0.3955876827
100	0.3939752281
101	0.3919948936
102	0.390342474
103	0.3885679543
104	0.3869078159
105	0.3849281073
106	0.3828507364
107	0.3811309338
108	0.3794001937
109	0.3773881197
110	0.3756026924
111	0.3738723099
112	0.3720014095
113	0.370313704
114	0.3681410849
115	0.3668126166
116	0.3651853502
117	0.3636874557
118	0.3618861437
119	0.3602390885
120	0.358566761
121	0.3567123413
122	0.3549716175
123	0.3533247411
124	0.3518207967
125	0.3498326838
126	0.3483076394
127	0.3467332721
128	0.3451937139
129	0.3436705172
130	0.3422806859
131	0.340921998
132	0.3397821188
133	0.3385908008
134	0.337295413
135	0.3358436227
136	0.3347502351
137	0.3335033357
138	0.3324271441
139	0.3311152756
140	0.3297824264
141	0.3286655545
142	0.3271444738
143	0.3254439533
144	0.3241260648
145	0.322652638
146	0.321241945
147	0.3198131919
148	0.3185448647
149	0.3172909021
150	0.315982461
151	0.3147326708
152	0.3135823011
153	0.3118674159
154	0.3104791641
155	0.3092694581
156	0.3082864881
157	0.3070106506
158	0.3061465025
159	0.3050760627
160	0.3038417101
161	0.3028639853
162	0.3017966449
163	0.3006821573
164	0.2993716598
165	0.2982521653
166	0.2969794571
167	0.295763433
168	0.2946643829
169	0.2935756743
170	0.2923680544
171	0.2915745974
172	0.2903107405
173	0.2891713977
174	0.2879942954
175	0.2870713472
176	0.2862124741
177	0.2851625979
178	0.284291923
179	0.2833998501
180	0.2823168635
181	0.2813389003
182	0.2801681459
183	0.2791948915
184	0.2780219913
185	0.2770798504
186	0.2761351466
187	0.2749818563
188	0.2739276886
189	0.2730133533
190	0.2720538378
191	0.2710641921
192	0.2700156868
193	0.2689801455
194	0.2680152655
195	0.2671313286
196	0.2663913369
197	0.2656479478
198	0.2645202875
199	0.2633742392
200	0.2625656724
201	0.2618360221
202	0.2610864639
203	0.2602729499
204	0.2592824101
205	0.258274287
206	0.2573200762
207	0.2561750412
208	0.2550410032
209	0.2543443739
210	0.2535206079
211	0.2527349591
212	0.252034843
213	0.2509027719
214	0.2498939931
215	0.2490054518
216	0.2481091321
217	0.2473034114
218	0.2465662956
219	0.2457787097
220	0.244838655
221	0.2439488173
222	0.2433100939
223	0.2425751984
224	0.2419775724
225	0.2410808802
226	0.2401850522
227	0.2394189537
228	0.2384491712
229	0.2377363443
230	0.2370666713
231	0.2364040762
232	0.2357967496
233	0.2350343019
234	0.2343270034
235	0.2336731851
236	0.2329450846
237	0.232071504
238	0.2317406088
239	0.2310278416
240	0.2303636968
241	0.2297679335
242	0.2292786092
243	0.2285568118
244	0.2279348224
245	0.2275131643
246	0.2267183661
247	0.2257102728
248	0.2251170427
249	0.2245040536
250	0.2239172161
251	0.2231816947
252	0.222468406
253	0.2217199504
254	0.2211287469
255	0.2205312103
256	0.2198602557
257	0.2191202641
258	0.2184346616
259	0.2176607847
260	0.2168340385
261	0.2161362171
262	0.2155213058
263	0.2149446011
264	0.2142620087
265	0.2138065547
266	0.2131746858
267	0.2124503553
268	0.2117243409
269	0.2111195326
270	0.2104597688
271	0.2099658847
272	0.2091702074
273	0.2085731328
274	0.2081416249
275	0.2075590193
276	0.2068294883
277	0.2060506344
278	0.205463618
279	0.2048454434
280	0.2042682618
281	0.2038424909
282	0.2032240033
283	0.2028313875
284	0.2022355348
285	0.2017344832
286	0.2012723386
287	0.200646475
288	0.1999501884
289	0.1992506385
290	0.1985861063
291	0.1978775412
292	0.1972720623
293	0.1965613663
294	0.1958749294
295	0.1954243332
296	0.1948149502
297	0.1940974891
298	0.1935551167
299	0.1929285824
300	0.1924151629
301	0.1918568909
302	0.1913724542
303	0.1909343898
304	0.1903428435
305	0.1896925718
306	0.189245522
307	0.1887765378
308	0.1882559657
309	0.1878226399
310	0.1873263568
311	0.186793834
312	0.1861620247
313	0.1856231838
314	0.185233295
315	0.1845490038
316	0.1837720275
317	0.1832228899
318	0.1828123927
319	0.1824080646
320	0.1819930226
321	0.1814416945
322	0.1808025539
323	0.1802060455
324	0.1795654893
325	0.1790093482
326	0.1785694063
327	0.1780553758
328	0.1775413752
329	0.1773465425
330	0.1767005622
331	0.1763210595
332	0.1758082509
333	0.1753306687
334	0.1748269349
335	0.1742608249
336	0.1738220602
337	0.1734399945
338	0.1730718017
339	0.1727426648
340	0.1722085476
341	0.171843797
342	0.1713761985
343	0.1709806025
344	0.1705776453
345	0.1701067239
346	0.169608444
347	0.169139564
348	0.1686964333
349	0.1682670116
350	0.1678707153
351	0.1674861908
352	0.1670823395
353	0.1667238325
354	0.166344136
355	0.1657705307
356	0.1654163897
357	0.1649776995
358	0.1646108031
359	0.164225325
360	0.1639485359
361	0.1634076536
362	0.1629268825
363	0.1625879705
364	0.1619127244
365	0.16136235
366	0.1610019356
367	0.1605212986
368	0.1600425243
369	0.1597494483
370	0.1594076455
371	0.1590013206
372	0.1585612297
373	0.1582866609
374	0.1579401046
375	0.1575759649
376	0.1572630405
377	0.1568523049
378	0.1564198583
379	0.1560431421
380	0.1556050181
381	0.1551312804
382	0.1546678841
383	0.1542756259
384	0.1539427936
385	0.1535265148
386	0.153239876
387	0.1528128982
388	0.1525034904
389	0.1520781666
390	0.1516788453
391	0.1513592005
392	0.1510608196
393	0.150627017
394	0.1504106373
395	0.149961561
396	0.149554953
397	0.1492905915
398	0.1489516348
399	0.1485882699
400	0.1482057273
401	0.1477661729
402	0.1474778652
403	0.1471252441
404	0.1468137205
405	0.1464634836
406	0.1461892575
407	0.1458737552
408	0.1454531848
409	0.1450258493
410	0.1446184814
411	0.144192487
412	0.1437574625
413	0.1434569061
414	0.1429586112
