iter	Passed	Remaining
428	1580	2104
429	1584	2099
430	1586	2094
431	1588	2089
432	1591	2083
433	1595	2080
434	1598	2076
435	1601	2071
436	1604	2067
437	1607	2062
438	1609	2056
439	1611	2051
440	1615	2048
441	1618	2042
442	1620	2037
443	1622	2032
444	1625	2026
445	1627	2021
446	1629	2015
447	1632	2011
448	1634	2005
449	1636	2000
450	1638	1994
451	1640	1989
452	1643	1983
453	1645	1978
454	1646	1972
455	1649	1967
456	1651	1962
457	1653	1957
458	1655	1951
459	1657	1946
460	1660	1941
461	1662	1935
462	1664	1930
463	1666	1925
464	1668	1919
465	1671	1915
466	1673	1909
467	1675	1904
468	1677	1899
469	1679	1894
470	1681	1888
471	1683	1883
472	1685	1878
473	1688	1873
474	1690	1868
475	1692	1863
476	1694	1857
477	1696	1852
478	1698	1847
479	1701	1843
480	1703	1838
481	1705	1833
482	1708	1828
483	1710	1823
484	1712	1818
485	1714	1813
486	1716	1808
487	1718	1803
488	1721	1798
489	1723	1793
490	1725	1788
491	1727	1783
492	1730	1779
493	1732	1774
494	1734	1769
495	1736	1764
496	1739	1760
497	1741	1755
498	1743	1750
499	1745	1745
500	1748	1741
501	1750	1736
502	1752	1731
503	1754	1726
504	1756	1722
505	1758	1717
506	1761	1712
507	1763	1707
508	1766	1703
509	1768	1699
510	1771	1694
511	1773	1690
512	1777	1686
513	1779	1682
514	1782	1678
515	1785	1674
516	1787	1670
517	1790	1665
518	1793	1661
519	1796	1658
520	1798	1653
521	1807	1655
522	1810	1651
523	1814	1648
524	1817	1644
525	1819	1639
526	1821	1634
527	1823	1630
528	1825	1625
529	1827	1621
530	1829	1616
531	1831	1611
532	1833	1606
533	1836	1602
534	1838	1597
535	1840	1593
536	1842	1588
537	1844	1584
538	1846	1579
539	1848	1574
540	1850	1570
541	1853	1566
542	1855	1561
543	1857	1557
544	1860	1552
545	1862	1548
546	1865	1544
547	1867	1540
548	1870	1536
549	1872	1532
550	1875	1528
551	1877	1523
552	1879	1519
553	1883	1516
554	1885	1511
555	1888	1507
556	1890	1503
557	1893	1499
558	1895	1495
559	1897	1491
560	1900	1487
561	1902	1483
562	1905	1478
563	1907	1474
564	1910	1471
565	1912	1466
566	1915	1462
567	1917	1458
568	1920	1454
569	1923	1450
570	1925	1446
571	1928	1442
572	1930	1438
573	1932	1434
574	1935	1430
575	1937	1426
576	1940	1422
577	1942	1418
578	1944	1413
579	1946	1409
580	1948	1405
581	1950	1401
582	1952	1396
583	1955	1392
584	1957	1388
585	1959	1384
586	1961	1379
587	1963	1375
588	1965	1371
589	1967	1367
590	1969	1362
591	1972	1359
592	1974	1355
593	1976	1351
594	1978	1346
595	1981	1342
596	1983	1338
597	1985	1334
598	1988	1331
599	1990	1327
600	1993	1323
601	1996	1319
602	1998	1315
603	2000	1311
604	2003	1307
605	2006	1304
606	2016	1305
607	2019	1302
608	2021	1298
609	2024	1294
610	2027	1290
611	2029	1286
612	2032	1283
613	2035	1279
614	2037	1275
615	2039	1271
616	2041	1267
617	2044	1263
618	2061	1268
619	2063	1264
620	2065	1260
621	2067	1256
622	2069	1252
623	2071	1248
624	2074	1244
625	2076	1240
626	2078	1236
627	2081	1232
628	2083	1229
629	2085	1225
630	2088	1221
631	2090	1217
632	2092	1213
633	2094	1209
634	2096	1205
635	2098	1201
636	2100	1197
637	2103	1193
638	2105	1189
639	2107	1185
640	2110	1181
641	2112	1178
642	2114	1174
643	2117	1170
644	2119	1166
645	2122	1163
646	2125	1159
647	2127	1155
648	2129	1151
649	2132	1148
650	2134	1144
651	2137	1140
652	2139	1136
653	2142	1133
654	2144	1129
655	2146	1125
656	2148	1121
657	2151	1118
658	2153	1114
659	2155	1110
660	2158	1106
661	2160	1103
662	2163	1099
663	2165	1095
664	2167	1091
665	2170	1088
666	2172	1084
667	2174	1080
668	2177	1077
669	2180	1073
670	2182	1070
671	2184	1066
672	2186	1062
673	2189	1059
674	2192	1055
675	2195	1052
676	2198	1048
677	2207	1048
678	2211	1045
679	2215	1042
680	2218	1039
681	2221	1035
682	2223	1032
683	2226	1028
684	2228	1024
685	2231	1021
686	2233	1017
687	2235	1013
688	2239	1010
689	2242	1007
690	2247	1005
691	2252	1002
692	2255	999
693	2261	997
694	2264	993
695	2268	990
696	2271	987
697	2275	984
698	2278	981
699	2281	977
700	2284	974
701	2287	971
702	2291	968
703	2296	965
704	2300	962
705	2303	959
706	2306	955
707	2309	952
708	2313	949
709	2316	946
710	2320	943
711	2326	940
712	2332	938
713	2336	935
714	2340	932
715	2344	929
716	2347	926
717	2352	923
718	2374	928
719	2379	925
720	2395	926
721	2399	924
722	2406	921
723	2414	920
724	2418	917
725	2424	914
726	2428	911
727	2433	909
728	2438	906
729	2444	904
730	2453	902
731	2457	899
732	2463	897
733	2468	894
734	2473	891
735	2476	888
736	2480	885
737	2484	881
738	2488	878
739	2494	876
740	2499	873
741	2502	870
742	2505	866
743	2510	863
744	2514	860
745	2518	857
746	2522	854
747	2527	851
748	2532	848
749	2535	845
750	2540	842
751	2543	838
752	2548	836
753	2553	833
754	2558	830
755	2561	826
756	2569	824
757	2573	821
758	2578	818
759	2582	815
760	2586	812
761	2590	809
762	2595	806
763	2611	806
764	2614	803
765	2618	799
766	2621	796
767	2625	793
768	2629	789
769	2633	786
770	2637	783
771	2640	779
772	2643	776
773	2646	772
774	2650	769
775	2653	765
776	2657	762
777	2660	759
778	2664	755
779	2667	752
780	2672	749
781	2676	746
782	2680	742
783	2685	739
784	2690	736
785	2709	737
786	2714	734
787	2717	731
788	2720	727
789	2724	724
790	2727	720
791	2731	717
792	2737	714
793	2741	711
794	2744	707
795	2748	704
796	2752	701
797	2755	697
798	2758	694
799	2763	690
800	2767	687
801	2771	684
802	2775	680
803	2778	677
804	2782	674
805	2785	670
806	2790	667
807	2793	663
808	2796	660
809	2800	656
810	2803	653
811	2805	649
812	2808	646
813	2811	642
814	2815	639
815	2819	635
816	2848	638
817	2855	635
818	2859	631
819	2862	628
820	2865	624
821	2867	621
822	2871	617
823	2873	613
824	2875	610
825	2878	606
826	2881	602
827	2883	599
828	2886	595
829	2890	591
830	2892	588
831	2895	584
832	2897	580
833	2900	577
834	2902	573
835	2905	569
836	2907	566
837	2917	564
838	2920	560
839	2923	556
840	2925	553
841	2928	549
842	2931	545
843	2934	542
844	2936	538
845	2939	535
846	2942	531
847	2944	527
848	2947	524
849	2951	520
850	2954	517
851	2958	513
852	2962	510
853	2965	506
854	2968	503
855	2971	499
856	2974	496
857	2979	493
858	2983	489
859	2993	487
860	3000	484
861	3002	480
862	3006	477
863	3009	473
864	3012	470
865	3015	466
866	3017	462
867	3020	459
868	3022	455
869	3025	452
870	3028	448
871	3030	444
872	3033	441
873	3036	437
874	3039	434
875	3042	430
876	3044	427
877	3047	423
878	3050	419
879	3054	416
880	3056	412
881	3059	409
882	3062	405
883	3065	402
884	3068	398
885	3070	395
886	3074	391
887	3076	388
888	3079	384
889	3082	380
890	3085	377
891	3088	373
892	3090	370
893	3094	366
894	3096	363
895	3099	359
896	3102	356
897	3104	352
898	3107	349
899	3109	345
900	3113	342
901	3116	338
902	3119	335
903	3122	331
904	3124	327
905	3127	324
906	3130	321
907	3133	317
908	3136	313
909	3138	310
910	3142	306
911	3144	303
912	3147	299
913	3151	296
914	3153	292
915	3156	289
916	3159	285
917	3162	282
918	3165	278
919	3168	275
920	3171	272
921	3174	268
922	3177	265
923	3181	261
924	3184	258
925	3187	254
926	3190	251
927	3193	247
928	3195	244
929	3199	240
930	3202	237
931	3204	233
932	3207	230
933	3210	226
934	3212	223
935	3215	219
936	3218	216
937	3220	212
938	3222	209
939	3225	205
940	3229	202
941	3231	198
942	3236	195
943	3244	192
944	3250	189
945	3255	185
946	3262	182
947	3265	179
948	3269	175
949	3272	172
950	3277	168
951	3280	165
952	3284	161
953	3295	158
954	3298	155
955	3302	151
956	3305	148
957	3308	145
958	3310	141
959	3314	138
960	3318	134
961	3323	131
962	3327	127
963	3332	124
964	3336	121
965	3340	117
966	3346	114
967	3351	110
968	3357	107
969	3364	104
970	3369	100
971	3374	97
972	3379	93
973	3384	90
974	3389	86
975	3395	83
976	3400	80
977	3406	76
978	3410	73
979	3415	69
980	3419	66
981	3423	62
982	3429	59
983	3435	55
984	3441	52
985	3445	48
986	3452	45
987	3455	41
988	3459	38
989	3464	34
990	3468	31
991	3474	28
992	3480	24
993	3484	21
994	3494	17
995	3499	14
996	3502	10
997	3506	7
998	3510	3
999	3513	0
