True_Values,Predicted_Values
0.36,0.9839650920331986
0.71,1.0844634297467963
2.13,2.014344459910058
1.99,1.334244455033243
1.52,1.4219409217462187
2.11,1.5957199868831917
1.05,0.7259105613896552
0.8,0.7699381624790298
-1.97,-2.852465756808518
1.74,1.6449735074078402
-1.41,0.008055874878385941
-2.48,-2.4836114742982818
2.08,1.8134245680121523
0.85,0.9950354703326966
1.66,1.5890690675296693
-3.0,-2.5623090900418237
1.86,2.1989803587622823
1.15,1.2451561068201495
1.52,1.3552437482787218
1.99,1.318203553194039
0.2,1.2586513502485235
0.94,1.2519618369758052
2.27,2.0297137504993823
1.97,2.1498635536451505
0.71,0.7150083426104618
1.05,0.8951177634371624
-2.03,-2.432558275719823
-1.39,-1.2991696317041295
1.05,1.581102447850685
1.66,1.6827599343856656
1.15,1.5355284014823611
-3.0,-2.8750229753700793
2.24,2.0902767524782306
0.66,1.0368959915296063
1.99,2.045323907939494
0.49,0.2336273130759321
1.1,0.8733261385743796
0.04,0.9077906169897547
1.84,1.248514271240661
2.14,2.0380817631803247
-1.1,-1.413324107970335
-2.83,-2.144272791050147
-1.1,-1.0784747680806077
-0.16,-1.1354851832662085
0.66,1.1195044537430365
-2.94,-2.129320760529171
-2.94,-2.175647238115506
1.9,1.5077688603424224
1.66,1.5617533057235193
0.58,0.35709672128882386
0.66,0.5518679352126679
0.99,0.7955700541287547
1.05,1.62069150567681
0.99,1.3809170398197725
0.99,0.9764823926593578
-2.15,-2.8591168113084517
-1.39,-1.3426039627707684
-0.85,-0.9978668316201079
1.1,0.7718361010426371
1.66,1.6496340811629318
1.59,1.4577933773427396
1.45,1.6415877251313562
0.99,1.4629930524674741
1.28,1.838135370653644
1.67,1.892091582589296
1.45,0.91046836832749
1.66,1.4558470144004962
0.58,0.9732035023557808
0.16,0.7949765856237144
1.32,1.2243162545063473
2.24,1.9085693356544617
2.11,2.0557085968043074
2.16,2.130132481051319
0.94,0.9884021404988278
-1.41,-1.1591454193431037
1.27,1.3759466817298274
1.66,1.6428462007166718
