SPS_L,NumRadicalElectrons_L,MaxPartialCharge_L,PEOE_VSA1_L,PEOE_VSA10_L,PEOE_VSA11_L,PEOE_VSA14_L,PEOE_VSA4_L,SlogP_VSA1_L,SlogP_VSA12_L,TPSA_L,EState_VSA9_L,VSA_EState2_L,VSA_EState4_L,NOCount_L,NumAliphaticHeterocycles_L,NumHAcceptors_L,fr_Imine_L,fr_bicyclic_L,ODI_HOMO_1_Free,ODI_HOMO_Free,ODI_Mean_Free,ODI_Std_Free,ALIEmin_Free,ODI_HOMO_Res,ODI_Std_Res,ESPmin_Res,ALIEmin_Res,Co_Mulliken_CoL2,Co_NPA_CoL2,ln(dr)
18.88888889,0.0,0.236282795,4.736862954,11.73576882,6.103966388,0.0,0.0,0.0,0.0,34.48,14.71324621,9.682756834,3.973906421,3.0,1.0,3.0,1.0,1.0,4.93,5.36,7.1875,2.05576476,8.29117,6.16,1.775561531,-72.7958,8.19351,0.03234,0.53364,0.66
22.5,0.0,0.273014383,9.473725908,13.21376393,0.0,0.0,0.0,0.0,0.0,43.18,9.473725908,9.290917108,2.541357802,4.0,2.0,4.0,2.0,0.0,6.46,7.39,10.8575,3.956857181,8.48474,30.27,33.11559904,-74.60702,3.97864,-0.00205,0.57169,0.58
27.71428571,0.0,0.273284278,9.473725908,13.21376393,0.0,0.0,0.0,0.0,0.0,43.18,9.473725908,8.813240741,-0.289789305,4.0,2.0,4.0,2.0,0.0,11.79,12.16,11.5675,3.442037006,8.40199,38.64,14.84912792,-74.60702,3.33901,-0.00205,0.57169,0.99
29.125,0.0,0.27301281,9.473725908,13.21376393,0.0,0.0,0.0,0.0,0.0,43.18,9.473725908,9.003947468,0.0,4.0,2.0,4.0,2.0,0.0,9.8,11.38,10.74,3.40122772,8.42817,12.33,4.216126777,-70.25555,8.3277,-0.032302,0.5319,0.16
28.62068966,0.0,0.199782109,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.24396416,4.995199041,4.0,2.0,4.0,2.0,6.0,10.61,7.8,10.475,1.7454011,8.31207,9.32,0.487102402,-77.08962,7.98431,-0.016947,0.51577,1.52
27.22222222,0.0,0.273002643,9.473725908,13.21376393,0.0,0.0,0.0,0.0,0.0,43.18,9.473725908,9.124879063,0.0,4.0,2.0,4.0,2.0,0.0,10.85,11.4,10.9325,3.651865106,8.42934,12.13,3.647869241,-71.18614,8.24653,0.00834,0.55071,0.49
12.5,0.0,0.088865987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78,0.0,8.967634165,4.70975222,2.0,0.0,2.0,0.0,0.0,20.67,9.18,12.33,4.90929221,7.96443,9.15,5.967176887,-78.46301,7.9032,0.065678,0.54213,0.2
30.53846154,0.0,0.20005412,14.21058886,41.85241212,5.897745344,0.0,0.0,0.0,0.0,64.77,29.18780306,15.54789886,7.097133367,6.0,3.0,6.0,3.0,9.0,7.62,8.45,7.2525,1.166048348,8.30758,4.61,2.210467993,-75.88951,8.12867,-0.009989,0.51751,1.32
25.43589744,0.0,0.200149074,9.473725908,17.49867213,12.20793278,0.0,0.0,0.0,0.0,43.18,19.45853537,10.68805493,4.141243632,4.0,2.0,4.0,2.0,0.0,7.19,7.25,5.7425,1.478163979,8.58534,7.06,0.409290545,-80.71784,8.24693,0.002059,0.51804,0.94
19.68421053,0.0,0.20084995,9.473725908,17.49867213,12.20793278,0.0,0.0,0.0,0.0,43.18,19.45853537,11.33662887,8.480593139,4.0,2.0,4.0,2.0,0.0,8.74,10.76,7.62,2.325553698,8.30043,7.17,0.598372793,-85.23331,8.13354,0.001195,0.55275,1.1
23.77777778,0.0,0.199860406,9.473725908,18.6287544,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,11.01183264,4.938604462,4.0,2.0,4.0,2.0,0.0,4.59,6.17,7.1125,1.848545036,8.07426,6.53,0.596217242,-81.53061,7.96045,-0.135886,0.50327,0.04
31.33333333,0.0,0.273682053,9.473725908,24.29161443,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,9.590577601,5.244467809,4.0,2.0,4.0,2.0,6.0,7.37,5.61,8.56,3.399139597,8.54617,7.36,2.940140303,-72.64311,8.35737,0.027536,0.55739,1.05
24.17021277,0.0,0.199805817,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.64365169,9.987422661,4.0,2.0,4.0,2.0,8.0,3.85,3.84,3.8825,0.037666298,8.46665,4.19,1.687533333,-80.93219,8.10084,-0.019825,0.503,2.24
19.7704918,0.0,0.200504995,9.473725908,29.7066049,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,11.34735185,14.28731411,4.0,2.0,4.0,2.0,8.0,6.06,6.41,7.0875,0.870786283,8.4221,7.17,0.038971143,-79.56293,8.15493,-0.011612,0.53777,1.84
21.64912281,0.0,0.199782112,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.96025293,15.5531126,4.0,2.0,4.0,2.0,6.0,4.2,4.17,4.6175,0.436312675,8.28912,7.97,0.197547463,-78.8901,8.11327,-0.021687,0.51722,2.11
