No,yield20,SlogP_VSA3,BCUT2D_CHGHI,NumAliphaticRings,PEOE_VSA10,LEAmin_Rest,NumAliphaticCarbocycles,LEAmin_CoL2,BCUT2D_LOGPHI,LEAmin_Free,fr_bicyclic,PEOE_VSA11,EState_VSA2,EState_VSA9,BCUT2D_LOGPLOW,BalabanJ,ALIEmin_Rest,ODI_Std_Rest,VSA_EState1,BCUT2D_MRLOW,Chi4n,MaxPartialCharge,Mol_Radius_CoL2,HOMO_LUMO_Gap_Rest,LUMO_CoL2,MinPartialCharge,LUMO_Free,EState_VSA5,ALIEmin_Free,Mol_Radius_Free,Mol_Size_L_CoL2,Pos_Surface_Area_Free,Nonpolar_Area_Rest,ALIEmax_Free,HOMO_LUMO_Gap_Free,BCUT2D_MWHI,LEAmax_Rest,Weight_CoL2,Mol_Size_L_Rest,MaxAbsEStateIndex,ODI_HOMO_1_Free,MaxAbsPartialCharge,MPI_CoL2,MinAbsEStateIndex,Nu_CoL2,MPP_Free,Overall_Average_CoL2,Len_Div_Diameter_CoL2,ESPmax_CoL2,ESPmax_Rest,VSA_EState4
L123,0,23.17955701,2.506120134,2,11.73576882,-37.35995,1,-36.08727,2.504310518,-38.15422,1,5.601050811,6.041840829,14.71324621,-2.343050285,1.547044005,8.071,2.905499097,6.952800454,0.097657554,5.178845246,0.236923488,8.037,0.183123,-0.079568,-0.457182038,-0.045178,24.09902273,8.17757,8.253,15.977,808.51776,254.67,13.86239,0.183642,16.52225847,-13.09447,491.49042,15.949,6.952800454,4.8,0.457182038,0.75644752,0.225618176,0.09754796,1.661228,-0.00155275,0.99396541,37.41126,23.02518,5.904993127
L124,0,17.5785062,2.383596246,2,12.14580722,-39.85278,1,-39.51758,2.394643622,-40.22392,3,5.897745344,12.14580722,9.729267686,-2.140074025,1.593642098,7.93063,2.349797864,5.981769652,0.201921383,2.901305023,0.189977979,7.266,0.210633,-0.0547,-0.474365603,-0.021925,11.12690298,8.09227,7.497,14.176,544.29075,145.38,14.77463,0.214363,16.50731532,-12.94031,311.24483,14.288,5.981769652,12.25,0.474365603,0.97803903,0.18973356,0.13765349,1.067836,-0.00135202,0.97550234,41.8694,22.01565,3.704782953
L125,0,9.473725908,2.303688316,2,18.75268918,-40.49141,0,-39.65119,2.272361843,-40.90754,0,0.0,12.14580722,9.473725908,-2.154966582,1.478024631,4.04139,34.65504752,11.5921353,0.226048657,2.671135516,0.27337182,7.942,0.071683,-0.082093,-0.47143179,-0.04135,0.0,8.56797,7.557,15.568,662.02087,118.3,14.63588,0.20013,16.55365046,-11.58556,353.28159,15.568,5.909812453,12.2,0.47143179,0.92944348,0.026180818,0.13949412,0.904928,-0.00261943,0.980105767,37.0574,174.01506,2.273298727
L126,0,9.473725908,2.276551815,2,12.71084835,-39.93846,0,-40.05443,2.144062329,-40.0266,0,0.0,12.14580722,9.473725908,-2.183200233,1.973111628,5.38424,13.11098299,11.00895597,0.216830327,1.48918677,0.273002487,6.448,0.02765,-0.079719,-0.471814385,-0.036907,0.0,8.43492,6.606,12.843,561.87344,63.22,14.86124,0.199838,16.55342166,-10.18986,257.1957,12.697,5.581538171,10.2,0.471814385,0.99189686,0.219422714,0.14472492,0.880397,0.00216424,0.995890199,40.14782,44.50879,0.0
L127,0,22.31536915,2.293974252,2,12.71084835,-40.22662,0,-39.52303,2.172182938,-39.57933,0,0.0,12.14580722,9.473725908,-2.207087263,1.343137456,3.97864,33.11559904,11.65649306,0.221432936,3.041555572,0.273014569,6.68,0.071579,-0.078791,-0.471800984,-0.039562,11.12690298,8.48474,9.172,12.34,728.93132,108.4,14.83501,0.192998,16.55350145,-12.47638,381.33483,12.341,5.942031841,6.46,0.471800984,0.95897608,0.071179018,0.17650369,0.912816,-0.00675603,0.923652695,41.06427,133.87363,2.530107802
L129,0,9.473725908,2.31197074,2,12.71084835,-39.80631,0,-39.55486,2.189578378,-39.97143,0,0.0,12.14580722,9.473725908,-2.229076531,1.981372604,8.3277,4.216126777,11.26212491,0.170288575,1.703680934,0.273012992,7.155,0.195716,-0.079781,-0.471802757,-0.037005,0.0,8.42817,7.26,14.22,634.87828,158.33,14.49294,0.199305,16.55390009,-12.9639,285.24894,14.22,5.729048564,9.8,0.471802757,0.94201819,0.18,0.14219078,0.913718,0.00090291,0.993710692,36.18405,21.63861,0.0
L130,0,9.473725908,2.323396605,2,12.71084835,-39.84914,0,-39.60109,2.216818969,-39.65176,0,0.0,12.14580722,9.473725908,-2.24172327,1.944088914,8.30212,3.137167313,11.48232474,0.158014858,2.137831417,0.273013167,8.202,0.195178,-0.07929,-0.471802558,-0.035825,0.0,8.43868,8.163,16.387,752.72471,192.44,14.45068,0.207161,16.5539433,-13.19669,313.30217,16.385,5.853940146,10.8,0.471802558,0.87405944,0.193470936,0.1355801,0.844707,0.00146705,0.998963667,36.6249,22.46403,0.0
L131,0,9.473725908,2.2961646,2,12.71084835,-39.84878,0,-39.57598,2.190935016,-39.7621,0,0.0,12.14580722,9.473725908,-2.202491741,1.864651122,8.24653,3.647869241,11.40158352,0.19299833,2.380945167,0.273002837,7.741,0.196138,-0.079222,-0.471813988,-0.035384,0.0,8.42934,7.358,15.272,744.77219,206.43,14.77414,0.207403,16.55350512,-12.91293,313.30217,15.271,5.80368528,10.85,0.471813988,0.8379668,0.204119216,0.15675059,1.045029,0.00070869,0.986435861,39.16124,22.73289,0.0
L132,0,10.82998094,2.16976878,0,0.0,-35.62186,0,-34.37382,2.276736574,-34.82213,0,0.0,10.82998094,0.0,-2.121748149,2.47286646,7.9032,5.967176887,0.0,0.587782306,2.074253858,0.088865987,6.878,0.185748,-0.076799,-0.254599302,-0.039466,11.12690298,7.96443,6.889,13.578,847.91967,182.83,13.58664,0.194123,14.75502207,-13.23858,329.34631,13.579,4.483817082,20.67,0.254599302,1.01408303,0.124332837,0.08378461,1.053,0.00699291,0.987060192,50.3481,28.74776,4.70975222
L133,0,0.0,2.110530717,0,0.0,-37.08183,0,-36.13948,2.341362931,-36.95748,3,0.0,0.0,0.0,-1.898585484,1.824239917,8.01442,0.471963982,0.0,1.372439239,3.566817619,0.097049303,7.619,0.164047,-0.083862,-0.253914126,-0.055521,22.25380597,8.07921,7.563,15.238,682.71666,185.2,13.7735,0.164791,14.72832691,-13.05658,393.3472,15.238,4.667797777,5.23,0.253914126,0.87560535,0.945957577,0.08187674,0.825603,0.00455628,1.0,29.64094,19.24701,6.64724504
