No,yield20,BCUT2D_CHGHI,PEOE_VSA10,NumAliphaticRings,BCUT2D_LOGPHI,NumAliphaticCarbocycles,SlogP_VSA3,LEAmin_CoL2
L98,1,2.446384428,30.20952048,4,2.432926092,2,22.31536915,-40.27297
L1,1,2.60988784,29.7066049,5,2.560948015,3,22.31536915,-40.26798
L10,1,2.611233303,29.7066049,5,2.566105671,3,22.31536915,-40.22333
L100,1,2.544034168,41.34104659,4,2.486560188,2,35.1570124,-42.92689
L101,1,2.563543858,29.7066049,12,2.621329446,10,45.98699334,-42.1281
L102,1,2.527931565,29.7066049,4,2.499292762,2,22.31536915,-41.49972
L103,1,2.546301548,29.7066049,4,2.50207275,2,35.1570124,-42.14288
L104,1,2.546659201,29.7066049,4,2.505099507,2,35.1570124,-41.40554
L109,1,2.512123199,30.71243606,4,2.486034417,2,9.473725908,-42.19668
L11,1,2.611044241,29.7066049,5,2.565456707,3,22.31536915,-40.26023
L110,1,2.576310111,18.6287544,3,2.509486106,1,22.31536915,-41.19436
L116,1,2.586140029,18.6287544,3,2.508406754,1,28.53652618,-41.24075
L12,1,2.611470231,29.7066049,5,2.567348307,3,22.31536915,-40.1827
L13,1,2.52480412,29.7066049,4,2.483288285,2,22.31536915,-40.30985
L137,1,2.538487908,41.85241212,6,2.489731352,3,33.47305373,-42.00684
L143,1,2.530792523,17.49867213,2,2.502132106,0,33.14535009,-42.14396
L162,1,2.611413479,29.7066049,5,2.567340084,3,22.31536915,-40.27599
L163,1,2.546496927,29.7066049,4,2.503474407,2,35.1570124,-42.08094
L164,1,2.528731629,29.7066049,4,2.507428936,2,22.31536915,-41.61409
L165,1,2.529154013,29.7066049,4,2.502257578,2,43.97533103,-41.61086
L166,1,2.500711457,29.7066049,4,2.491154515,2,22.31536915,-40.33821
L167,1,2.500234532,29.7066049,4,2.48450238,2,22.31536915,-41.25581
L168,1,2.500710217,41.20562857,4,2.492188635,2,22.31536915,-41.29721
L169,1,2.499760927,29.7066049,4,2.480650648,2,22.31536915,-41.24791
L170,1,2.500126127,29.7066049,4,2.48375465,2,22.31536915,-41.26623
L171,1,2.500440045,29.7066049,4,2.487298273,2,22.31536915,-41.24776
L2,1,2.543433144,29.7066049,4,2.485814624,2,35.1570124,-41.46053
L8,1,2.501195214,29.7066049,4,2.484284747,2,43.97533103,-41.04151
L9,1,2.612052234,29.7066049,5,2.568582842,3,43.97533103,-39.98139
L93,1,2.568940092,29.7066049,5,2.53025468,3,22.31536915,-40.94282
L94,1,2.550941314,29.7066049,5,2.515121054,3,22.31536915,-40.18786
L96,1,2.564213883,29.7066049,5,2.50639952,3,35.1570124,-41.1709
L97,1,2.51851882,29.7066049,4,2.472360942,2,28.73619078,-41.695
L99,1,2.538836855,29.7066049,5,2.502973901,3,22.31536915,-41.28823
