No,yield20,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,ODI_HOMO_1_Rest,ODI_HOMO_Rest,ODI_LUMO_Rest,ODI_LUMO_Add1_Rest,ODI_Mean_Rest,ODI_Std_Rest,AtomNum_Rest,Weight_Rest,HOMO_Rest,HOMO_number_Rest,LUMO_Rest,HOMO_LUMO_Gap_Rest,Farthest_Distance_Rest,Mol_Radius_Rest,Mol_Size_Short_Rest,Mol_Size_2_Rest,Mol_Size_L_Rest,Length_Ratio_Rest,Len_Div_Diameter_Rest,MPP_Rest,SDP_Rest,Dipole_Moment_Rest,Quadrupole_Moment_Rest,Octopole_Moment_Rest,Volume_Rest,Density_Rest,ESPmin_Rest,ESPmax_Rest,Overall_Surface_Area_Rest,Pos_Surface_Area_Rest,Neg_Surface_Area_Rest,Overall_Average_Rest,Pos_Average_Rest,Neg_Average_Rest,Overall_Variance_Rest,Nu_Rest,Pi_Rest,MPI_Rest,Nonpolar_Area_Rest,Polar_Area_Rest,ALIEmin_Rest,ALIEmax_Rest,ALIE_Ave_Rest,ALIE_Var_Rest,LEAmin_Rest,LEAmax_Rest,LEA_Ave_Rest,LEA_Var_Rest,ODI_HOMO_1_Free,ODI_HOMO_Free,ODI_LUMO_Free,ODI_LUMO_Add1_Free,ODI_Mean_Free,ODI_Std_Free,AtomNum_Free,Weight_Free,HOMO_Free,HOMO_number_Free,LUMO_Free,HOMO_LUMO_Gap_Free,Farthest_Distance_Free,Mol_Radius_Free,Mol_Size_Short_Free,Mol_Size_2_Free,Mol_Size_L_Free,Length_Ratio_Free,Len_Div_Diameter_Free,MPP_Free,SDP_Free,Dipole_Moment_Free,Quadrupole_Moment_Free,Octopole_Moment_Free,Volume_Free,Density_Free,ESPmin_Free,ESPmax_Free,Overall_Surface_Area_Free,Pos_Surface_Area_Free,Neg_Surface_Area_Free,Overall_Average_Free,Pos_Average_Free,Neg_Average_Free,Overall_Variance_Free,Nu_Free,Pi_Free,MPI_Free,Nonpolar_Area_Free,Polar_Area_Free,ALIEmin_Free,ALIEmax_Free,ALIE_Ave_Free,ALIE_Var_Free,LEAmin_Free,LEAmax_Free,LEA_Ave_Free,LEA_Var_Free,ODI_HOMO_1_CoL2,ODI_HOMO_CoL2,ODI_LUMO_CoL2,ODI_LUMO_Add1_CoL2,ODI_Mean_CoL2,ODI_Std_CoL2,AtomNum_CoL2,Weight_CoL2,HOMO_CoL2,HOMO_number_CoL2,LUMO_CoL2,HOMO_LUMO_Gap_CoL2,Farthest_Distance_CoL2,Mol_Radius_CoL2,Mol_Size_Short_CoL2,Mol_Size_2_CoL2,Mol_Size_L_CoL2,Length_Ratio_CoL2,Len_Div_Diameter_CoL2,MPP_CoL2,SDP_CoL2,Dipole_Moment_CoL2,Quadrupole_Moment_CoL2,Octopole_Moment_CoL2,Volume_CoL2,Density_CoL2,ESPmin_CoL2,ESPmax_CoL2,Overall_Surface_Area_CoL2,Pos_Surface_Area_CoL2,Neg_Surface_Area_CoL2,Overall_Average_CoL2,Pos_Average_CoL2,Neg_Average_CoL2,Overall_Variance_CoL2,Nu_CoL2,Pi_CoL2,MPI_CoL2,Nonpolar_Area_CoL2,Polar_Area_CoL2,ALIEmin_CoL2,ALIEmax_CoL2,ALIE_Ave_CoL2,ALIE_Var_CoL2,LEAmin_CoL2,LEAmax_CoL2,LEA_Ave_CoL2,LEA_Var_CoL2
L106,0,10.28546989,10.28546989,0.167783687,-0.348339243,0.319509706,23.7027027,483.571,458.371,483.194677,180,0,0.233574755,-0.467324824,0.467324824,0.233574755,0.621621622,1.108108108,1.648648649,16.52543628,9.965561066,2.402086856,-2.18051531,2.43715708,-2.182839622,5.988126324,0.148974173,3.614550255,1.402755947,1412.987661,25.02852249,20.06733023,20.06733023,18.31399439,12.33784205,12.33784205,9.036663123,9.036663123,6.72459382,6.72459382,4.919705182,4.919705182,-4.82,789597288.6,22.63182053,10.04194679,4.456943591,215.8858121,14.79051451,18.21502853,11.67707092,11.780845,0,0,0,4.992404733,5.261891555,0,121.3273414,22.25380597,0,6.041840829,9.473725908,5.897745344,5.261891555,5.316788604,4.992404733,24.29161443,0,155.0373515,0,6.069221313,5.316788604,0,0,0,5.897745344,9.473725908,11.33111287,46.5454204,137.7759503,0,0,0,66.64,0,5.261891555,0,35.76246431,5.883099655,22.25380597,0,0,109.1946072,23.51874405,14.46613064,12.85856954,0,4.921481167,13.75248079,4.385184959,0.66454533,42.07275004,-0.655011819,0,0,0.125,37,1,5,0,2,2,4,0,4,5,1,5,5,0,1,1,6,6.73528,142.1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,15.11,7.18,7.38,10.555,3.398503347,61,482.55305,-0.156008,127,0.00575,0.161757,59,9.235,8.591,10.581,18.464,0.490594112,0.999675149,1.435105,5.933361,7.89425,49.369632,251.6505,3965.5927,1.3636,-156.54134,-21.19984,1809.04926,0,1809.04926,-0.09891707,0,-0.09891707,0.00206719,0,0.03714409,2.69167048,0,506.59,7.04825,13.35472,0.38202772,0.00202242,-42.17914,-13.34749,-0.8472813,0.047228,7.61,12.2,8.39,7.31,8.8775,1.958333156,62,483.56099,-0.213638,127,-0.023798,0.189839,59,9.04,8.371,11.559,18.057,0.475346829,0.998727876,1.438019,5.818385,12.952348,56.680154,331.8635,3944.34277,1.3738,-66.41146,46.57418,1754.2868,1016.14101,738.14579,-0.00035555,0.0223964,-0.03167618,0.00109978,0.16233319,0.02635884,0.71568736,193.13,298.12,8.33228,15.79179,0.40696044,0.00188752,-41.34623,-13.05188,-0.8300686,0.042941,10.06,17.9,3.68,4.86,9.125,5.606092668,64,543.50212,-0.190502,748,-0.007797,0.182705,59,9.235,8.603,10.589,18.465,0.49034708,0.999729291,1.43726,5.988156,1.746517,77.36115,299.7007,4290.37473,1.4196,-137.27762,-16.88829,1892.49355,0,1892.49355,-0.09568325,0,-0.09568325,0.00217377,0,0.03825518,2.60367358,0,529.95,5.8019,13.59718,0.37611993,0.00386239,-41.72353,-11.86853,-0.7851564,0.041959
L107,0,7.016527778,7.016527778,0.170341794,-0.642055461,0.208720401,23.53488372,560.697,528.441,560.2463783,210,0,0.200850324,-0.4692952,0.4692952,0.200850324,0.418604651,0.744186047,1.11627907,16.5257264,9.833962868,2.552985997,-2.292178287,2.518686861,-2.410200775,6.076142533,0.156376837,3.827651848,1.268712165,1651.099731,28.64140667,23.79094487,23.79094487,21.28275619,15.04892963,15.04892963,11.68218693,11.68218693,9.023418834,9.023418834,6.885309118,6.885309118,-4.96,24888895448,25.72679587,10.70465146,4.544141086,251.9445009,9.473725908,17.49867213,12.20793278,11.79549069,0,0,0,9.984809465,0,0,145.5928096,46.2223522,0,0,9.473725908,11.79549069,0,0,15.39979993,37.13325768,0,178.9735186,0,0,0,0,0,0,11.79549069,22.31536915,5.414990469,57.67232338,155.5776191,0,0,0,43.18,5.414990469,0,0,24.29161443,11.79549069,35.09544921,11.12690298,0,24.26546827,121.3273414,19.45853537,14.03305556,0,10.85413202,0,6.430035834,1.427184219,50.19373879,0.978520242,0,0,0.179487179,43,0,4,1,2,3,5,0,5,4,0,4,6,0,0,0,8,8.5942,170.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,4.18,6.08,6.28,6.105,1.312202347,75,560.68502,-0.229379,148,-0.013757,0.215622,74,8.928,12.997,13.754,17.388,0.393937334,0.973790323,2.449316,10.647377,1.438177,23.790222,218.3899,4653.55928,1.3501,-80.53027,16.95877,2129.54165,1094.68908,1034.85257,-0.00479285,0.01213688,-0.02270148,0.00047948,0.0762451,0.01774639,0.46996114,345.02,251.31,8.22286,13.70245,0.4031888,0.00169648,-42.55801,-13.09243,-0.8178151,0.0422,4.15,9.78,3.67,3.54,5.285,2.605115161,75,560.68502,-0.229966,148,-0.014247,0.215718,67,9.108,7.314,13.929,17.989,0.458528752,0.987538428,1.094369,4.89066,3.324987,28.468478,173.7913,4632.29318,1.3563,-44.70078,18.5623,1958.75423,1008.66821,950.08603,-0.00216635,0.01251784,-0.01775597,0.00024535,0.1656606,0.01520875,0.40976462,326.53,221.98,8.62228,13.67106,0.40539253,0.0015161,-41.02774,-13.10282,-0.8002677,0.037833,21.52,27.38,5.75,6.31,15.24,9.442232257,78,621.6341,-0.225801,869,-0.041718,0.184083,74,8.928,12.93,13.75,17.372,0.394352129,0.972894265,2.416918,10.731944,10.860458,53.676059,406.6986,4984.42008,1.3975,-78.43205,27.1136,2219.08683,1284.14837,934.93846,-0.00341739,0.01851241,-0.03353822,0.00144481,0.07087682,0.02553726,0.67601326,287.16,334.25,6.31836,14.25345,0.39590822,0.00356154,-42.09829,-11.72988,-0.7646681,0.037679
L108,0,7.653204365,7.653204365,0.3266401,-0.891271605,0.16079326,21.30769231,678.876,636.54,678.3246286,256,0,0.200945584,-0.461154084,0.461154084,0.200945584,0.365384615,0.653846154,0.961538462,16.54015466,9.728879567,2.609321607,-2.407943664,2.582569346,-2.457738966,6.070983077,0.0632514,3.861753359,1.270839935,1931.409045,34.85066716,29.22166629,29.22166629,25.73875053,18.60601689,18.60601689,14.27723767,14.27723767,11.34524004,11.34524004,8.835326962,8.835326962,-5.74,2.54E+12,32.18660341,13.42714667,5.195805315,306.0964215,9.473725908,17.49867213,11.20210162,11.79549069,0,0,0,9.984809465,0,0,201.2534769,23.96854623,22.25380597,0,9.473725908,11.79549069,0,0,15.39979993,55.38989139,0,215.371721,0,0,0,0,0,0,11.79549069,20.67582753,5.414990469,77.56849872,191.9758215,0,0,0,43.18,16.61709209,0,0,12.08368166,0,77.28030775,0,0,0,181.9910121,19.45853537,15.30640873,0,11.459435,0,4.048110334,1.437489292,63.10390937,4.894647277,0,0,0.208333333,52,0,4,1,2,3,6,0,6,4,0,4,8,1,0,1,9,11.1645,208.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,7.76,6.32,4.94,5.6925,1.500656107,94,678.86105,-0.226259,180,-0.01628,0.209979,87,9.378,10.239,14.102,18.682,0.434232852,0.996054596,1.793897,7.902293,2.127845,27.081373,380.8318,5665.14865,1.3428,-78.39246,19.9911,2328.10463,1193.40609,1134.69854,-0.00458753,0.01099479,-0.02097606,0.00042325,0.09391675,0.01638751,0.43156102,400.19,251.74,8.08428,13.7051,0.40380599,0.00159472,-39.10222,-13.10188,-0.7967035,0.035013,6.94,6.15,5.75,5.39,6.0575,0.576080507,94,678.86105,-0.23169,180,-0.017105,0.214585,86,9.149,10.512,13.312,17.449,0.422770334,0.953601487,1.841677,8.368328,2.599196,16.57993,393.0983,5658.24053,1.3445,-53.82272,18.3976,2314.81635,1144.84287,1169.97348,-0.00451619,0.01120524,-0.01989994,0.00029684,0.1162564,0.0159085,0.4244918,401.55,246.66,8.44952,13.69885,0.40425907,0.0015075,-39.66946,-13.09761,-0.7933734,0.033763,25.23,26.84,5.6,4.49,15.54,10.51774928,97,739.81013,-0.225346,1047,-0.045596,0.17975,87,9.378,10.532,14.163,18.681,0.43067595,0.99600128,1.858367,7.987558,11.689738,62.458142,538.5189,5990.54305,1.3839,-78.20511,25.51642,2404.92449,1454.98138,949.94311,-0.00286699,0.01683118,-0.03303773,0.0012923,0.05061814,0.02394239,0.63219535,300.61,372.84,6.2888,13.84132,0.39690104,0.00322486,-39.10165,-11.69757,-0.7563965,0.029419
L114,0,5.941809571,5.941809571,0.138888889,-0.138888889,0.782045636,31.33333333,292.423,264.199,292.2150781,118,0,0.199171265,-0.477901695,0.477901695,0.199171265,0.80952381,1.19047619,1.428571429,16.51352894,9.877603416,2.585196078,-2.215326511,2.519489492,-2.261164154,6.085541864,0.220291592,2.823799745,1.806201557,447.8999475,15.46625533,14.19405144,14.19405144,9.627793643,8.050163566,8.050163566,8.836265627,8.836265627,4.870133788,4.870133788,2.8028091,2.8028091,-1.06,47727.86329,14.85976211,4.467155495,2.575282075,127.5785668,9.473725908,18.6287544,11.79549069,0,0,0,0,9.984809465,0,0,41.5424232,23.67162418,0,12.08368166,9.473725908,11.79549069,0,0,26.22978087,66.4677481,13.21376393,0,0,0,0,0,0,0,37.09293628,9.473725908,16.24497141,54.38406644,9.984809465,0,0,0,43.18,0,0,0,28.32865307,13.21376393,24.63713393,0,0,0,41.5424232,19.45853537,11.88361914,0,9.717771164,0,0.147058768,1.74210034,0.482205767,2.107921391,14.66932343,0,0.882352941,21,0,4,1,2,3,0,0,0,4,0,4,2,1,0,1,3,3.4534,84.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06,10.04,9.74,13.16,10.75,1.397175723,49,292.41707,-0.22836,80,0.021384,0.249744,48,7.025,7.228,9.294,14.011,0.458880555,0.997224199,1.1611,4.536008,2.146629,17.340445,9.8525,2673.76931,1.2255,-78.74375,18.57827,1257.18506,687.11206,570.073,-0.0036199,0.01096957,-0.02120466,0.00064755,0.08026689,0.01621865,0.42478857,234.32,117.73,8.06856,14.27872,0.41075689,0.0009641,-40.17005,-13.17763,-0.7302762,0.033971,8.88,8.96,10.09,12.51,10.11,1.465929739,49,292.41707,-0.232904,80,0.021183,0.254087,48,7.808,6.564,7.671,15.558,0.522203202,0.996285861,1.080233,4.094667,2.173356,15.054449,115.9151,2682.1423,1.2217,-40.28965,19.2404,1239.91158,708.68967,531.22192,-0.00102761,0.0112252,-0.01737378,0.00032401,0.14415426,0.01403284,0.37713526,238.49,108.72,8.34244,13.99389,0.41116844,0.00082957,-40.68161,-13.34996,-0.743891,0.039319,25.3,24.45,9.46,10.31,17.38,7.507040029,52,353.36614,-0.223668,485,-0.033748,0.18992,48,7.025,7.226,9.323,14.011,0.458475131,0.997224199,1.162848,4.537075,11.254749,36.394741,82.5605,2959.68416,1.3379,-71.35191,30.78989,1288.55318,838.33922,450.21396,-0.00042926,0.02356105,-0.04510138,0.00148952,0.10834758,0.03121822,0.84592384,124.91,235.93,6.27005,14.72804,0.40282997,0.00400374,-39.94041,-11.93981,-0.6896316,0.025356
L115,0,6.021809571,6.021809571,0.137871788,-0.166666667,0.777592378,31,306.45,276.21,306.2307282,124,0,0.199169576,-0.477901703,0.477901703,0.199169576,0.818181818,1.227272727,1.454545455,16.51290994,9.677837434,2.537174832,-2.389334655,2.479002597,-2.453194873,6.067043021,0.176682534,2.933842807,1.852250017,462.1606476,16.17336211,14.90115822,14.90115822,10.12779364,8.550163566,8.550163566,9.189819018,9.189819018,5.327240569,5.327240569,3.208139186,3.208139186,-1.06,67856.85028,15.82122687,4.969245467,2.545053535,133.9435089,9.473725908,18.6287544,11.79549069,0,0,0,0,9.984809465,0,0,47.96324482,23.67162418,0,12.08368166,9.473725908,11.79549069,0,0,26.22978087,72.88856973,13.21376393,0,0,0,0,0,0,0,37.09293628,9.473725908,16.24497141,60.80488807,9.984809465,0,0,0,43.18,0,0,0,28.32865307,13.21376393,24.63713393,6.420821623,0,0,41.5424232,19.45853537,12.04361914,0,9.837771164,0,0.109076909,1.762933673,0.472946507,3.307454176,14.71619843,0,0.888888889,22,0,4,1,2,3,0,0,0,4,0,4,2,1,0,1,3,3.8435,89.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.53,14.3,10.69,13.68,13.3,1.538619511,52,306.44369,-0.230292,84,0.017595,0.247887,47,7.087,7.484,10.37,14.121,0.441626271,0.996260759,1.250524,5.34008,1.73098,17.277491,41.1534,2817.04107,1.219,-76.73289,19.42878,1294.77578,742.7544,552.02138,-0.00274333,0.00962066,-0.01937929,0.00064171,0.07955151,0.01442757,0.37500554,263.51,99.06,8.10933,14.18275,0.40899307,0.00092837,-41.3764,-13.2594,-0.721519,0.031089,8.74,9.43,18.95,19.68,14.2,5.127314112,52,306.44369,-0.234262,84,0.023322,0.257584,50,7.061,6.703,10.43,13.935,0.448532252,0.98675825,1.124298,4.255331,1.982539,15.741659,82.249,2824.18444,1.2159,-48.09473,20.07334,1297.45859,742.81268,554.64591,-0.00145348,0.01002128,-0.01682112,0.00038938,0.12184826,0.01320345,0.35179196,268.37,94.95,8.23532,14.11003,0.40903241,0.00084162,-41.4355,-13.35278,-0.7223859,0.031092,27,25.06,11.61,11,18.6675,7.397524501,55,367.39276,-0.224553,507,-0.035747,0.188806,47,7.087,7.484,10.354,14.121,0.441847367,0.996260759,1.248811,5.339446,11.000137,39.323761,139.6589,3112.11395,1.3229,-72.89086,31.56928,1341.58203,934.97461,406.60742,0.0008869,0.02189039,-0.04740964,0.0014945,0.08267705,0.02928195,0.80613115,126.67,249.01,6.30951,14.63053,0.40031121,0.00386852,-41.0796,-11.88005,-0.6793359,0.02199
L117,0,7.059326499,7.059326499,0.175317443,-0.729537746,0.148533636,21.58490566,698.951,648.551,698.3872288,268,0,0.19986201,-0.477896068,0.477896068,0.19986201,0.452830189,0.79245283,1.150943396,16.51272309,9.722052106,2.509565031,-2.339763654,2.452633979,-2.441117663,6.107939505,0.21247336,3.933220539,1.236049218,2087.264335,35.19344843,30.81212463,30.81212463,26.23224594,20.44368152,20.44368152,16.45183185,16.45183185,13.27726492,13.27726492,10.48009301,10.48009301,-4.7,4.99E+12,32.91244666,13.93558037,5.989640235,312.8733507,9.473725908,18.6287544,11.79549069,0,0,0,0,9.984809465,0,0,135.5868028,116.7101727,0,12.08368166,9.473725908,54.8852844,0,0,27.23561203,89.13354113,13.21376393,120.3215102,0,0,0,0,0,0,37.09293628,22.31536915,17.25080256,75.33511921,119.1794167,0,43.08979372,0,43.18,5.414990469,0,0,12.08368166,37.89121927,11.79549069,118.4249129,0,0,109.1946072,19.45853537,14.118653,0,11.42510614,10.15792908,1.915045588,2.809799771,40.6954101,14.16842591,1.29296375,0,0.387755102,53,0,4,2,2,4,6,0,6,4,0,4,8,2,0,2,10,11.8262,220.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.2,3.4,3.42,3.7775,0.369619737,103,698.93531,-0.18736,187,-0.0614,0.12596,97,8.862,11.473,12.234,16.155,0.405273193,0.911475965,2.160194,8.550007,1.605308,26.869849,427.3682,5866.95531,1.335,-82.32737,19.37947,2230.12568,1136.70252,1093.42316,-0.00310058,0.01209601,-0.01889867,0.00053879,0.10243457,0.01573864,0.41990785,380.44,244.05,8.08213,13.6606,0.40164778,0.00129433,-43.74374,-13.06681,-0.7816849,0.038976,6.43,6.43,5.94,5.82,6.155,0.278253482,103,698.93531,-0.18569,187,-0.05969,0.126,84,8.316,11.854,14.149,16.217,0.384107058,0.9750481,2.298582,8.767026,1.495739,27.668513,386.8618,5870.09365,1.3343,-42.2556,21.94145,2278.62613,1145.00432,1133.62181,-0.00175445,0.0111568,-0.01479534,0.00021056,0.19458346,0.01305704,0.35284945,418.67,219.41,8.26566,14.52574,0.40203056,0.00128068,-40.76168,-13.12396,-0.7819534,0.038091,4.76,24.73,3.75,3.82,9.265,8.937624125,106,759.88439,-0.19084,1084,-0.065406,0.125434,97,8.862,11.302,11.819,16.148,0.411214953,0.91108102,2.158587,8.755024,10.589356,54.374415,435.9377,6180.26165,1.3778,-78.4719,32.64992,2232.12694,1261.5704,970.55654,-0.00247086,0.0187983,-0.03011742,0.00126795,0.10277042,0.02411662,0.6454539,313.7,311.35,6.15084,14.34507,0.39664379,0.00281808,-43.36031,-12.26635,-0.7519798,0.034235
L119,0,5.375402731,5.375402731,0.667363946,0.667363946,0.702083224,15.06666667,198.225,188.145,198.0793129,74,0,0.234992299,-0.474408077,0.474408077,0.234992299,1.066666667,2,2.866666667,16.49337395,10.17700078,2.109857666,-2.018052037,2.132452773,-2.030900547,5.949527606,0.347261418,2.817874949,2.131945487,533.8880869,10.08757567,8.180990659,8.180990659,7.43265299,4.967881311,4.967881311,3.424527826,3.424527826,2.403014679,2.403014679,1.675234598,1.675234598,-1.9,7199.670495,8.411784571,3.348624245,1.457612688,87.43057854,4.736862954,12.30080996,0,5.897745344,0,0,0,9.976383254,0,0,24.26546827,12.13273414,5.386224214,12.06145712,4.736862954,16.80067028,0,4.983978521,4.992404733,0,13.15163837,42.09213041,0,0,0,0,0,0,24.03336224,4.736862954,0,5.693927995,41.39060714,0,10.90292493,0,34.48,0,0,0,0,12.50462731,23.14160933,0,0,36.39820241,9.976383254,4.736862954,5.375402731,0,8.746117252,1.138747166,1.805,0.667363946,12.02363843,0,1.41039714,0,0.166666667,15,0,3,0,1,1,1,1,2,3,0,3,1,0,0,0,3,2.0116,59.099,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.15,8.74,9.18,9.5,8.8925,0.506526159,25,198.22105,-0.225431,52,-0.064259,0.161172,24,6.34,4.199,7.941,12.625,0.509792045,0.995662461,0.356447,1.808723,3.188444,23.253085,146.5817,1607.12399,1.3821,-73.68832,24.90144,829.32628,418.6441,410.68218,-0.0038667,0.01880282,-0.02697572,0.0007833,0.10889193,0.02305532,0.6217811,96.16,136.07,8.07148,14.83438,0.41225273,0.00202211,-39.47823,-13.07357,-0.8479424,0.053644,8.55,9.12,9.21,9.61,9.1225,0.378508586,25,198.22105,-0.231861,52,-0.062113,0.169747,23,6.352,4.184,7.938,12.646,0.510578165,0.995434509,0.355188,1.783836,0.900772,22.215452,163.0657,1608.34734,1.3811,-54.47428,23.03503,829.08403,407.92489,421.15914,-0.00334976,0.01780833,-0.02384298,0.00043157,0.15928381,0.02094111,0.56800549,96.55,135.62,8.2614,14.89571,0.41199548,0.0018408,-39.57584,-13.07286,-0.8501497,0.054276,28.58,27.96,8.6,9.65,18.6975,9.58220323,28,259.17013,-0.231101,337,-0.092887,0.138214,24,6.34,5.201,8.642,12.496,0.474429553,0.985488959,0.505595,2.797328,12.184876,48.029219,214.2337,1929.0671,1.5055,-69.6507,39.69588,951.0554,613.13481,337.92059,0.0002995,0.03120856,-0.05578297,0.00166504,0.13903,0.03985403,1.08682592,60.36,205.97,6.505,15.52576,0.39529567,0.00675783,-39.22176,-10.14066,-0.7296364,0.051359
