ID,Ligand ID,Alkene,Alkyl Iodide,Ligand,ln(dr)
108,L165,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CCC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=C(C4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4)C=C3)(CC)C(O5)=N[C@@H]6[C@H]5CC7=C6C=C(C8=CC(C(C)(C)C)=CC(C(C)(C)C)=C8)C=C7,2.11
117,L166,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=C(C4=C(C=CC=C5)C5=CC6=C4C=CC=C6)C=C3)(C)C(O7)=N[C@@H]8[C@H]7CC9=C8C=C(C%10=C(C=CC=C%11)C%11=CC%12=C%10C=CC=C%12)C=C9,2.27
112,L167,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=C(C4=C(C=CC=C5)C5=CC=C4C)C=C3)(C)C(O6)=N[C@@H]7[C@H]6CC8=C7C=C(C9=C(C)C=CC%10=C9C=CC=C%10)C=C8,2.16
109,L168,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C)(C1=N[C@@H]2[C@@H](CC3=C2C=C(C=C3)C4=C(C=CC5=C4C=CC=C5)OC)O1)C6=N[C@@H]7[C@@H](CC8=C7C=C(C=C8)C9=C%10C=CC=CC%10=CC=C9OC)O6,2.11
103,L169,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=C(C4=C(C=CC=C5)C5=CC=C4)C=C3)(C)C(O6)=N[C@@H]7[C@H]6CC8=C7C=C(C9=CC=CC%10=C9C=CC=C%10)C=C8,1.97
44,L17,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C)[C@H]1CN(C2=CC=CC=C2)C(C3=N[C@@H](C(C)C)CN3C4=CC=CC=C4)=N1,0.71
97,L170,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=C(C4=C(C5=CC=CC=C5)C=CC=C4)C=C3)(C)C(O6)=N[C@@H]7[C@H]6CC8=C7C=C(C9=CC=CC=C9C%10=CC=CC=C%10)C=C8,1.79
111,L171,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=C(C4=C(C=CC=C5)C5=C(C=CC=C6)C6=C4)C=C3)(C)C(O7)=N[C@@H]8[C@H]7CC9=C8C=C(C%10=CC(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)C=C9,2.14
65,L18,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C=C1)=CC=C1N2C(C3=N[C@@H](C(C)C)CN3C4=CC=C(C)C=C4)=N[C@@H](C(C)C)C2,1.05
60,L2,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C(CC2=CC=CC=C2)(CC3=CC=CC=C3)C4=N[C@@H](C(C=CC=C5)=C5C6)[C@@H]6O4)=N[C@@H]7[C@@H](CC8=C7C=CC=C8)O1,0.99
59,L23,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC([C@H]1CN(C2=CC=CC(C(C)C)=C2)C(C3=N[C@@H](C(C)C)CN3C4=CC(C(C)C)=CC=C4)=N1)C,0.99
52,L24,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C=C1)=CC=C1N2C(C3=N[C@@H](CC(C)C)CN3C4=CC=C(C)C=C4)=N[C@@H](CC(C)C)C2,0.94
64,L25,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C[C@H]1CN(C2=CC=CC(C(C)C)=C2)C(C3=N[C@@H](CC(C)C)CN3C4=CC(C(C)C)=CC=C4)=N1)C,1.05
